id,exercise_id,step_number,instruction,created_at
96,incline-barbell-bench-press,6,"Контролируйте движение на всех фазах, следите за углом наклона скамьи - оптимальный диапазон 30-45 градусов для акцента на верхнюю часть груди.",2024-01-15T10:00:00Z
97,decline-barbell-bench-press,1,"Установите скамью с отрицательным наклоном под углом -15 градусов и лягте на неё, зафиксировав ноги в упорах. Плотно прижмите лопатки и ягодицы к поверхности.",2024-01-15T10:00:00Z
98,decline-barbell-bench-press,2,"Возьмите штангу хватом чуть шире плеч и снимите ее со стоек. Держите штангу над нижней частью груди, руки полностью выпрямлены. Это исходное положение.",2024-01-15T10:00:00Z
99,decline-barbell-bench-press,3,"Медленно опустите штангу к нижней части груди, контролируя движение. Опускайте до легкого касания груди или до комфортного растяжения.",2024-01-15T10:00:00Z
100,decline-barbell-bench-press,4,"Сделайте паузу на 1 секунду в нижней точке, затем мощно выжмите штангу вверх, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
101,decline-barbell-bench-press,5,"В верхней точке полностью выпрямите руки, затем повторите движение. Всегда используйте страховщика при работе с большими весами.",2024-01-15T10:00:00Z
102,decline-barbell-bench-press,6,"Контролируйте движение на всех фазах, следите за надежной фиксацией ног в упорах и дыханием для предотвращения головокружения.",2024-01-15T10:00:00Z
103,close-grip-push-ups,1,"Примите положение планки: руки расположите на ширине плеч или уже, ладони на полу на уровне груди, пальцы направлены вперед. Тело выпрямлено от головы до пяток, напрягите кор.",2024-01-15T10:00:00Z
104,close-grip-push-ups,2,"Напрягите мышцы пресса и ягодиц, чтобы сохранить прямую линию тела. Лопатки должны быть стабильными и не выступать вперед.",2024-01-15T10:00:00Z
105,close-grip-push-ups,3,"На вдохе медленно опустите тело вниз, сгибая локти и направляя их назад вдоль тела (не разводите в стороны). Опускайтесь до тех пор, пока грудь почти не коснется пола.",2024-01-15T10:00:00Z
106,close-grip-push-ups,4,"В нижней точке локти должны быть согнуты под углом около 90 градусов и расположены близко к телу. Сделайте кратковременную паузу.",2024-01-15T10:00:00Z
107,close-grip-push-ups,5,"На выдохе мощно оттолкнитесь от пола, напрягая трицепсы и грудные мышцы, возвращаясь в исходное положение. Полностью выпрямите руки в верхней точке.",2024-01-15T10:00:00Z
108,close-grip-push-ups,6,"Повторите движение, сохраняя правильную технику и контролируя положение тела на протяжении всего упражнения.",2024-01-15T10:00:00Z
109,wide-grip-push-ups,1,"Примите положение планки: руки расположите значительно шире плеч (примерно в 1.5-2 раза шире), ладони на полу на уровне груди, пальцы направлены вперед или слегка наружу. Тело выпрямлено от головы до пяток, напрягите кор.",2024-01-15T10:00:00Z
110,wide-grip-push-ups,2,"Напрягите мышцы пресса и ягодиц, чтобы сохранить прямую линию тела. Широкий хват создает большую нагрузку на грудные мышцы, но требует хорошей гибкости плечевых суставов.",2024-01-15T10:00:00Z
111,wide-grip-push-ups,3,"На вдохе медленно опустите тело вниз, сгибая локти. При широкой постановке рук локти естественно разводятся в стороны под углом примерно 45-60 градусов. Опускайтесь до тех пор, пока грудь почти не коснется пола или до комфортного растяжения.",2024-01-15T10:00:00Z
112,wide-grip-push-ups,4,"В нижней точке почувствуйте растяжение в грудных мышцах. Широкий хват обеспечивает больший акцент на внешнюю часть грудных мышц. Сделайте кратковременную паузу, контролируя положение тела.",2024-01-15T10:00:00Z
113,wide-grip-push-ups,5,"На выдохе мощно оттолкнитесь от пола, напрягая грудные мышцы и передние дельты, возвращаясь в исходное положение. Полностью выпрямите руки в верхней точке.",2024-01-15T10:00:00Z
114,wide-grip-push-ups,6,"Повторите движение, сохраняя правильную технику. Широкая постановка рук делает упражнение более легким для трицепсов по сравнению с обычными отжиманиями, позволяя выполнять больше повторений.",2024-01-15T10:00:00Z
115,decline-push-ups,1,"Поставьте ноги на возвышение (скамья, стул, платформа высотой 30-60 см) и примите положение планки: руки расположите на ширине плеч или чуть шире, ладони на полу на уровне груди, пальцы направлены вперед. Тело выпрямлено от головы до пяток, образуя прямую линию.",2024-01-15T10:00:00Z
116,decline-push-ups,2,"Напрягите мышцы пресса, ягодиц и спины, чтобы сохранить стабильность корпуса. Ноги должны быть прямыми и расположены выше головы, что увеличивает нагрузку на верхнюю часть груди и плечи. Голова должна быть в нейтральном положении.",2024-01-15T10:00:00Z
117,decline-push-ups,3,"На вдохе медленно опустите тело вниз, сгибая локти под углом примерно 45 градусов к телу. Опускайтесь контролируемо до тех пор, пока грудь почти не коснется пола или до комфортного растяжения в верхней части грудных мышц.",2024-01-15T10:00:00Z
118,decline-push-ups,4,"В нижней точке сделайте кратковременную паузу (1 секунда), контролируя положение тела. Не допускайте провисания таза или выгибания спины. Наклонное положение акцентирует нагрузку на верхнюю часть грудных мышц и передние дельты.",2024-01-15T10:00:00Z
119,decline-push-ups,5,"На выдохе мощно оттолкнитесь от пола, напрягая грудные мышцы, передние дельты и трицепсы, возвращаясь в исходное положение. Полностью выпрямите руки в верхней точке, сохраняя стабильность корпуса.",2024-01-15T10:00:00Z
120,decline-push-ups,6,"Повторите движение, сохраняя правильную технику. Наклонное положение с ногами на возвышении делает упражнение более сложным по сравнению с обычными отжиманиями, требуя большей силы верхней части тела и стабильности корпуса.",2024-01-15T10:00:00Z
121,incline-push-ups,1,"Поставьте руки на возвышение (скамья, стул, платформа, стол высотой 30-60 см) на ширине плеч или чуть шире, ладони на краю поверхности, пальцы направлены вперед. Примите положение планки: тело выпрямлено от головы до пяток, образуя прямую линию под углом к полу.",2024-01-15T10:00:00Z
122,incline-push-ups,2,"Напрягите мышцы пресса, ягодиц и спины, чтобы сохранить стабильность корпуса. Руки должны быть полностью выпрямлены, а тело образовывать прямую линию. Голова должна быть в нейтральном положении, взгляд направлен вниз, не вверх.",2024-01-15T10:00:00Z
123,incline-push-ups,3,"На вдохе медленно опустите тело вниз, сгибая локти под углом примерно 45 градусов к телу. Опускайтесь контролируемо, приближая грудь к поверхности возвышения. Угол наклона уменьшает нагрузку, делая упражнение легче обычных отжиманий.",2024-01-15T10:00:00Z
124,incline-push-ups,4,"В нижней точке сделайте кратковременную паузу (1 секунда), контролируя положение тела. Не допускайте провисания таза или выгибания спины. Грудь должна быть близко к возвышенности, но не касаться ее полностью.",2024-01-15T10:00:00Z
125,incline-push-ups,5,"На выдохе мощно оттолкнитесь от возвышения, напрягая грудные мышцы, передние дельты и трицепсы, возвращаясь в исходное положение. Полностью выпрямите руки в верхней точке, сохраняя стабильность корпуса.",2024-01-15T10:00:00Z
126,incline-push-ups,6,"Повторите движение, сохраняя правильную технику. Упрощенная версия отжиманий благодаря углу наклона позволяет начинающим освоить правильную технику и постепенно прогрессировать к обычным отжиманиям от пола.",2024-01-15T10:00:00Z
127,plyometric-push-ups,1,"Примите положение планки: руки на ширине плеч, ладони на полу, тело выпрямлено от головы до пяток. Напрягите кор, ягодицы и пресс для максимальной стабильности. Это критично важно для безопасного выполнения взрывных движений.",2024-01-15T10:00:00Z
128,plyometric-push-ups,2,"На вдохе медленно и контролируемо опустите тело вниз до комфортной глубины (примерно до середины нормального отжимания или чуть ниже). Сконцентрируйтесь на подготовке мышц к взрывному движению. Напрягите грудные мышцы, трицепсы и плечи.",2024-01-15T10:00:00Z
129,plyometric-push-ups,3,"Мощно и быстро оттолкнитесь от пола, направляя всю силу вверх. Выдохните резко и быстро во время взрывного движения. Цель - оторваться от пола настолько, чтобы руки полностью потеряли контакт с поверхностью.",2024-01-15T10:00:00Z
130,plyometric-push-ups,4,"В фазе полета держите кор напряженным и стабильным. Не допускайте провисания таза или прогиба спины. Руки должны оставаться выпрямленными или слегка согнутыми. Тело должно оставаться прямой линией даже в воздухе.",2024-01-15T10:00:00Z
131,plyometric-push-ups,5,"Приземляйтесь контролируемо на ладони, смягчая удар за счет небольшого сгибания в локтях. Немедленно поглотите силу приземления, чтобы не создать жесткого удара. Не останавливайтесь в этом положении.",2024-01-15T10:00:00Z
132,plyometric-push-ups,6,"После приземления немедленно опуститесь в эксцентрическую фазу для следующего повторения, если выполняете несколько подряд. Либо контролируемо перейдите в планку и дайте себе момент перед следующим повторением. Дышите ритмично между повторениями.",2024-01-15T10:00:00Z
133,ring-push-ups,1,"Установите кольца на высоте 20-30 см от пола. Возьмитесь за кольца хватом сверху и примите положение высокой планки, расположив кольца на ширине плеч. Напрягите мышцы пресса, ягодиц и всего тела для максимальной стабильности.",2024-01-15T10:00:00Z
134,ring-push-ups,2,"Держите кольца близко к телу, локти направлены назад под углом 45 градусов. Активно контролируйте стабильность колец, не допуская их разворота наружу. Ваше тело должно образовывать прямую линию от головы до пяток.",2024-01-15T10:00:00Z
135,ring-push-ups,3,"На вдохе медленно и контролируемо опустите тело, сгибая локти под углом 45 градусов. Активно сопротивляйтесь вращению колец наружу. Опускайтесь плавно и осознанно, чувствуя работу всех мышц.",2024-01-15T10:00:00Z
136,ring-push-ups,4,"Опускайтесь до тех пор, пока грудь не окажется на уровне колец или чуть ниже. Задержитесь на мгновение в нижней точке для максимального растяжения грудных мышц и сохранения контроля.",2024-01-15T10:00:00Z
137,ring-push-ups,5,"На мощном выдохе оттолкнитесь от колец, выпрямляя руки и возвращаясь в исходное положение. Сохраняйте контроль над кольцами на протяжении всего движения. Не допускайте потери контроля или разворота колец.",2024-01-15T10:00:00Z
138,ring-push-ups,6,"В верхней точке сведите кольца слегка внутрь для максимального сокращения грудных мышц. Удерживайте это положение на 1 секунду, затем медленно опускайтесь для следующего повторения. Повторяйте движение, сохраняя полный контроль и правильную технику.",2024-01-15T10:00:00Z
139,dumbbell-press-neutral-grip,1,"Лягте на горизонтальную скамью, плотно прижав лопатки и ягодицы к поверхности. Стопы должны быть устойчиво поставлены на пол на ширине плеч или чуть шире.",2024-01-15T10:00:00Z
140,dumbbell-press-neutral-grip,2,"Возьмите гантели в руки нейтральным хватом - ладони должны быть направлены друг к другу, как при молотковом хвате. Поднимите гантели над грудью, руки на ширине плеч или чуть уже. Это исходное положение.",2024-01-15T10:00:00Z
141,dumbbell-press-neutral-grip,3,"На вдохе медленно опустите гантели к груди, контролируя движение. Опускайте до легкого касания груди или до комфортного растяжения. Держите нейтральный хват на протяжении всего движения - ладони всегда направлены друг к другу.",2024-01-15T10:00:00Z
142,dumbbell-press-neutral-grip,4,"Сделайте паузу на 1 секунду в нижней точке, затем на мощном выдохе выжмите гантели вверх, возвращаясь в исходное положение. Акцентируйте внимание на работе трицепсов и внутренней части грудных мышц.",2024-01-15T10:00:00Z
143,dumbbell-press-neutral-grip,5,"В верхней точке сведите гантели вместе, сжимая грудные мышцы и трицепсы. Задержитесь на мгновение, затем повторите движение, сохраняя нейтральный хват и правильную технику.",2024-01-15T10:00:00Z
144,dumbbell-press-neutral-grip,6,"Выполните все запланированные повторения, контролируя движение в обеих фазах. Нейтральный хват должен оставаться неизменным на протяжении всего подхода - это ключевой момент техники.",2024-01-15T10:00:00Z
146,smith-machine-incline-bench-press,1,"Установите наклонную скамью под углом 30-45 градусов под машиной Смита и отрегулируйте положение скамьи так, чтобы штанга находилась над верхней частью груди. Лягте на скамью, плотно прижав лопатки и ягодицы к поверхности. Стопы должны быть устойчиво поставлены на пол.",2024-01-15T10:00:00Z
147,smith-machine-incline-bench-press,2,"Возьмите штангу хватом чуть шире плеч и снимите ее с фиксаторов, повернув штангу для разблокировки. Держите штангу над верхней частью груди, руки полностью выпрямлены. Это исходное положение.",2024-01-15T10:00:00Z
