id,exercise_id,level,message,related_body_part,recommendations,created_at
23,dumbbell-fly-flat-bench,important,Не опускайте гантели ниже уровня плеч - это может привести к перерастяжению плечевого сустава и травме.,shoulder,"{""recommendations"":[""Останавливайтесь на уровне плеч"",""При дискомфорте в плечах уменьшите амплитуду"",""Начинайте с легких весов для освоения техники""]}",2024-01-15T10:00:00Z
24,dumbbell-fly-flat-bench,notice,Начинайте с легких весов для освоения правильной техники - разведение требует хорошего контроля и координации.,shoulder,"{""recommendations"":[""Используйте вес, с которым можете выполнить 15-20 повторений"",""Сосредоточьтесь на технике, а не на весе"",""Постепенно увеличивайте нагрузку""]}",2024-01-15T10:00:00Z
25,dumbbell-fly-floor,important,Не пытайтесь увеличить амплитуду движения - пол ограничивает диапазон для вашей безопасности.,elbow,"{""recommendations"":[""Останавливайтесь при касании локтями пола"",""Не отрывайте лопатки от пола"",""Используйте умеренные веса""]}",2024-01-15T10:00:00Z
26,dumbbell-fly-floor,notice,Это упражнение идеально для начинающих и восстановления после травм плеч благодаря ограниченной амплитуде.,shoulder,"{""recommendations"":[""Начинайте с очень легких весов"",""Сосредоточьтесь на технике и контроле"",""Постепенно увеличивайте нагрузку""]}",2024-01-15T10:00:00Z
27,dumbbell-fly-incline-bench,important,Сохраняйте небольшой сгиб в локтях на протяжении всего движения - выпрямление рук может привести к травме локтевого сустава.,elbow,"{""recommendations"":[""Держите угол в локтях 10-15 градусов постоянно"",""Представьте, что держите мяч между руками"",""При усталости уменьшите вес гантелей""]}",2024-01-15T10:00:00Z
28,dumbbell-fly-incline-bench,important,Не опускайте гантели ниже уровня плеч - это может привести к перерастяжению плечевого сустава и травме.,shoulder,"{""recommendations"":[""Останавливайтесь на уровне плеч"",""При дискомфорте в плечах уменьшите амплитуду"",""Начинайте с легких весов для освоения техники""]}",2024-01-15T10:00:00Z
29,dumbbell-fly-incline-bench,notice,Контролируйте угол наклона скамьи - оптимальный диапазон 30-45 градусов для акцента на верхнюю часть груди.,shoulder,"{""recommendations"":[""Начинайте с 30 градусов"",""Постепенно увеличивайте угол"",""При дискомфорте в плечах уменьшите наклон""]}",2024-01-15T10:00:00Z
30,cable-fly-flat,important,Сохраняйте небольшой сгиб в локтях на протяжении всего движения - выпрямление рук может привести к травме локтевого сустава.,elbow,"{""recommendations"":[""Держите угол в локтях 10-15 градусов постоянно"",""Представьте, что держите мяч между руками"",""При усталости уменьшите вес""]}",2024-01-15T10:00:00Z
31,cable-fly-flat,important,Не опускайте руки ниже уровня плеч - это может привести к перерастяжению плечевого сустава и травме.,shoulder,"{""recommendations"":[""Останавливайтесь на уровне плеч"",""При дискомфорте в плечах уменьшите амплитуду"",""Начинайте с легких весов для освоения техники""]}",2024-01-15T10:00:00Z
32,cable-fly-flat,notice,Контролируйте постоянное натяжение кабелей - это ключевое преимущество упражнения перед свободными весами.,shoulder,"{""recommendations"":[""Не расслабляйтесь в растянутой позиции"",""Сосредоточьтесь на постоянном напряжении"",""Используйте умеренные веса для контроля""]}",2024-01-15T10:00:00Z
33,cable-fly-standing,important,Сохраняйте небольшой сгиб в локтях на протяжении всего движения - выпрямление рук может привести к травме локтевого сустава.,elbow,"{""recommendations"":[""Держите угол в локтях 10-15 градусов постоянно"",""Представьте, что держите мяч между руками"",""При усталости уменьшите вес""]}",2024-01-15T10:00:00Z
34,cable-fly-standing,important,Не опускайте руки ниже уровня плеч - это может привести к перерастяжению плечевого сустава и травме.,shoulder,"{""recommendations"":[""Останавливайтесь на уровне плеч"",""При дискомфорте в плечах уменьшите амплитуду"",""Начинайте с легких весов для освоения техники""]}",2024-01-15T10:00:00Z
35,cable-fly-standing,important,Сохраняйте стабильность корпуса - раскачивание тела снижает эффективность и может привести к травме спины.,back,"{""recommendations"":[""Напрягите мышцы кора"",""Держите спину прямо"",""Не раскачивайтесь во время движения""]}",2024-01-15T10:00:00Z
36,pec-deck-fly,important,Сохраняйте небольшой сгиб в локтях на протяжении всего движения - выпрямление рук может привести к травме локтевого сустава.,elbow,"{""recommendations"":[""Держите угол в локтях 10-15 градусов постоянно"",""Представьте, что держите мяч между руками"",""При усталости уменьшите вес""]}",2024-01-15T10:00:00Z
37,pec-deck-fly,important,Не опускайте руки ниже уровня плеч - это может привести к перерастяжению плечевого сустава и травме.,shoulder,"{""recommendations"":[""Останавливайтесь на уровне плеч"",""При дискомфорте в плечах уменьшите амплитуду"",""Начинайте с легких весов для освоения техники""]}",2024-01-15T10:00:00Z
38,pec-deck-fly,notice,Прижимайте спину к спинке сиденья - это обеспечивает стабильность и правильную технику выполнения.,back,"{""recommendations"":[""Не отрывайте спину от спинки"",""Сиденье должно быть отрегулировано по росту"",""Сосредоточьтесь на изоляции грудных мышц""]}",2024-01-15T10:00:00Z
39,pec-deck-fly,critical,ОБЯЗАТЕЛЬНО отрегулируйте высоту сиденья перед началом упражнения! Неправильная настройка может привести к травме плечевых суставов и неэффективной работе мышц.,shoulder,"{""recommendations"":[""Рукоятки должны быть на уровне груди"",""Плечи должны быть параллельны полу в исходном положении"",""При необходимости попросите тренера помочь с настройкой""]}",2024-01-15T10:00:00Z
40,cable-crossover-low-to-high,important,Сохраняйте небольшой сгиб в локтях на протяжении всего движения - выпрямление рук может привести к травме локтевого сустава.,elbow,"{""recommendations"":[""Держите угол в локтях 10-15 градусов постоянно"",""Представьте, что держите мяч между руками"",""При усталости уменьшите вес"",""Не выпрямляйте руки полностью в нижней точке""]}",2024-01-15T10:00:00Z
41,cable-crossover-low-to-high,important,Не поднимайте руки слишком высоко в исходном положении - руки выше уровня плеч могут привести к перерастяжению плечевого сустава и потере акцента на нижнюю часть груди.,shoulder,"{""recommendations"":[""Руки должны быть на уровне плеч или чуть выше"",""При дискомфорте в плечах опустите руки ниже"",""Начинайте с легких весов для освоения техники"",""Контролируйте исходное положение перед началом движения""]}",2024-01-15T10:00:00Z
42,cable-crossover-low-to-high,important,Сохраняйте стабильность корпуса - раскачивание тела снижает эффективность и может привести к травме спины.,back,"{""recommendations"":[""Напрягите мышцы кора"",""Держите спину прямо"",""Не раскачивайтесь во время движения""]}",2024-01-15T10:00:00Z
43,dumbbell-pullover,important,Не опускайте гантель слишком глубоко за голову - это может привести к перерастяжению плечевых суставов и травме.,shoulder,"{""recommendations"":[""Останавливайтесь на уровне головы"",""При дискомфорте в плечах уменьшите амплитуду"",""Начинайте с легких весов для освоения техники""]}",2024-01-15T10:00:00Z
44,dumbbell-pullover,important,Сохраняйте небольшой сгиб в локтях - выпрямление рук может привести к потере контроля над гантелью.,elbow,"{""recommendations"":[""Держите угол в локтях 10-15 градусов постоянно"",""Представьте, что держите мяч между руками"",""При усталости уменьшите вес""]}",2024-01-15T10:00:00Z
45,dumbbell-pullover,notice,Прижимайте спину к скамье - это обеспечивает стабильность и правильную технику выполнения.,back,"{""recommendations"":[""Не отрывайте спину от скамьи"",""Сосредоточьтесь на растяжении грудных мышц"",""Дышите глубоко для расширения грудной клетки""]}",2024-01-15T10:00:00Z
46,resistance-band-fly,important,"Правильно выберите сопротивление ленты - слишком слабое не даст эффекта, слишком сильное нарушит технику.",resistance,"{""recommendations"":[""Начинайте с легкого сопротивления"",""Постепенно увеличивайте нагрузку"",""При усталости уменьшите сопротивление""]}",2024-01-15T10:00:00Z
47,resistance-band-fly,important,"Не разводите руки слишком глубоко - это может привести к перерастяжению плечевых суставов и травме.",shoulder,"{""recommendations"":[""Останавливайтесь на уровне плеч"",""При дискомфорте в плечах уменьшите амплитуду"",""Начинайте с легкого сопротивления для освоения техники""]}",2024-01-15T10:00:00Z
48,resistance-band-fly,notice,"Сохраняйте стабильность корпуса - это обеспечивает правильную технику и максимальную эффективность.",back,"{""recommendations"":[""Напрягите мышцы кора"",""Держите спину прямо"",""Не раскачивайтесь во время движения""]}",2024-01-15T10:00:00Z
49,incline-barbell-bench-press,critical,НИКОГДА не выполняйте жим штанги на наклонной скамье без страховщика! Падение штанги может привести к смертельным травмам.,shoulder,"{""recommendations"":[""Обязательно используйте страховщика при работе с любыми весами"",""Проверьте надежность стоек и замков"",""При работе в одиночку используйте ограничители""]}",2024-01-15T10:00:00Z
50,incline-barbell-bench-press,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите лопатки сведенными и прижатыми к скамье"",""Не опускайте штангу слишком низко"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
51,incline-barbell-bench-press,notice,Контролируйте угол наклона скамьи - оптимальный диапазон 30-45 градусов для акцента на верхнюю часть груди.,shoulder,"{""recommendations"":[""Начинайте с 30 градусов для освоения техники"",""Проверьте надежность фиксации скамьи"",""При дискомфорте в плечах уменьшите угол наклона""]}",2024-01-15T10:00:00Z
52,decline-barbell-bench-press,critical,НИКОГДА не выполняйте жим штанги на скамье с отрицательным наклоном без страховщика! Падение штанги может привести к смертельным травмам.,shoulder,"{""recommendations"":[""Обязательно используйте страховщика при работе с любыми весами"",""Проверьте надежность стоек и замков"",""При работе в одиночку используйте ограничители""]}",2024-01-15T10:00:00Z
53,decline-barbell-bench-press,critical,Надежно зафиксируйте ноги в упорах скамьи! Соскальзывание может привести к падению и смертельным травмам головы и шеи.,head,"{""recommendations"":[""Убедитесь в надежной фиксации ног перед началом"",""Используйте скамью с качественными упорами"",""Дважды проверьте фиксацию перед каждым подходом""]}",2024-01-15T10:00:00Z
54,decline-barbell-bench-press,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите лопатки сведенными и прижатыми к скамье"",""Не опускайте штангу слишком низко"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
55,close-grip-push-ups,important,"Следите за положением локтей - они должны быть направлены назад вдоль тела, а не разводиться в стороны. Разведение локтей снижает акцент на трицепсы и может привести к травме плечевых суставов.",elbow,"{""recommendations"":[""Держите локти близко к телу на протяжении всего движения"",""Представьте, что локти скользят вдоль ребер"",""При дискомфорте в локтях уменьшите количество повторений""]}",2024-01-15T10:00:00Z
56,close-grip-push-ups,important,"Следите за положением запястий - слишком узкая постановка рук создает чрезмерную нагрузку на запястья и может привести к травме. Если чувствуете дискомфорт, немного расширьте хват.",wrist,"{""recommendations"":[""Расположите руки на ширине плеч или чуть уже"",""При болях в запястьях используйте упоры для отжиманий"",""Выполняйте разминку запястий перед упражнением""]}",2024-01-15T10:00:00Z
57,close-grip-push-ups,notice,"Контролируйте дыхание - не задерживайте его во время выполнения упражнения, это может повысить артериальное давление и снизить эффективность.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и ритмично"",""При головокружении прекратите упражнение""]}",2024-01-15T10:00:00Z
58,wide-grip-push-ups,important,"Следите за шириной постановки рук - чрезмерно широкая постановка (более чем в 2 раза шире плеч) создает излишнюю нагрузку на плечевые суставы и может привести к травме. Оптимальная ширина - в 1.5-2 раза шире плеч.",shoulder,"{""recommendations"":[""Начинайте с ширины в 1.5 раза шире плеч"",""При дискомфорте в плечах уменьшите ширину хвата"",""Если чувствуете чрезмерное растяжение, прекратите упражнение""]}",2024-01-15T10:00:00Z
59,wide-grip-push-ups,important,"Следите за положением плеч - они не должны выходить вперед за линию груди при широкой постановке рук. Это может привести к травме плечевого сустава и чрезмерному растяжению.",shoulder,"{""recommendations"":[""Держите лопатки стабильными на протяжении всего движения"",""Не опускайтесь слишком низко при проблемах с плечами"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
60,wide-grip-push-ups,notice,"Контролируйте дыхание - не задерживайте его во время выполнения упражнения, это может повысить артериальное давление. Широкая постановка рук требует хорошей гибкости плеч, поэтому контролируемое дыхание помогает поддерживать правильную технику.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и ритмично"",""При головокружении или дискомфорте в плечах прекратите упражнение""]}",2024-01-15T10:00:00Z
61,decline-push-ups,critical,"НИКОГДА не используйте слишком высокое возвышение (более 60-70 см) без должной подготовки. Наклонное положение с головой ниже ног значительно увеличивает нагрузку на плечевые суставы и может вызвать головокружение или повышение артериального давления. Начинайте с низкой высоты (30-40 см) и постепенно увеличивайте.",shoulder,"{""recommendations"":[""Начинайте с небольшой высоты возвышения (30-40 см)"",""При головокружении или дискомфорте немедленно прекратите упражнение"",""Не используйте слишком высокое возвышение без подготовки"",""При проблемах с давлением избегайте этого упражнения""]}",2024-01-15T10:00:00Z
62,decline-push-ups,important,"Следите за стабильностью корпуса - наклонное положение значительно усложняет поддержание прямой линии тела. Провисание таза или выгибание спины увеличивает риск травмы позвоночника и снижает эффективность упражнения.",spine,"{""recommendations"":[""Напрягайте пресс и ягодицы на протяжении всего упражнения"",""Представьте, что держите монету между ягодицами"",""Держите голову в нейтральном положении"",""Не допускайте провисания таза""]}",2024-01-15T10:00:00Z
63,decline-push-ups,notice,"Контролируйте дыхание - наклонное положение может вызывать дискомфорт при дыхании. Не задерживайте дыхание, это может повысить артериальное давление и вызвать головокружение. Дышите ритмично на протяжении всего движения.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и контролируемо"",""При головокружении или дискомфорте немедленно прекратите упражнение""]}",2024-01-15T10:00:00Z
64,incline-push-ups,important,"Убедитесь в устойчивости возвышения перед началом упражнения. Нестабильная поверхность (неустойчивый стул, шатающаяся скамья) может привести к падению и серьезным травмам. Проверьте прочность и устойчивость возвышения перед использованием.",shoulder,"{""recommendations"":[""Используйте прочное и устойчивое возвышение"",""Проверьте надежность поверхности перед началом"",""Не используйте неустойчивые предметы в качестве возвышения"",""При необходимости используйте нескользящую поверхность""]}",2024-01-15T10:00:00Z
65,incline-push-ups,important,"Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава. Упрощенная версия отжиманий должна быть безопасной, но правильная техника критически важна.",shoulder,"{""recommendations"":[""Держите лопатки стабильными"",""Не опускайтесь слишком низко при проблемах с плечами"",""При дискомфорте в плечах уменьшите амплитуду движения"",""Сохраняйте правильную технику даже при упрощенном упражнении""]}",2024-01-15T10:00:00Z
66,incline-push-ups,notice,"Контролируйте дыхание - не задерживайте его во время выполнения упражнения, это может повысить артериальное давление. Упрощенная версия позволяет лучше контролировать дыхание, используйте это для освоения правильной техники.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и ритмично"",""При головокружении прекратите упражнение"",""Используйте контролируемое дыхание для улучшения техники""]}",2024-01-15T10:00:00Z
67,plyometric-push-ups,critical,"Убедитесь в наличии достаточной базовой силы перед выполнением плиометрических отжиманий. Вы должны уметь выполнить минимум 30 качественных классических отжиманий без остановки, иначе риск травмы многократно возрастает.",shoulder,"{""recommendations"":[""Сначала освоите обычные отжимания до 30+ повторений"",""Освойте отжимания с легким отрывом рук"",""Развивайте базовую силу перед плиометрикой"",""Никогда не форсируйте прогрессию""]}",2024-01-15T10:00:00Z
68,plyometric-push-ups,important,"Используйте мягкую поверхность для защиты запястий от жестких ударов. Плиометрические отжимания создают значительную ударную нагрузку на запястья при приземлении, что может привести к травме на твердых поверхностях.",wrist,"{""recommendations"":[""Используйте специальные плиометрические маты или коврики"",""Избегайте твердых поверхностей типа бетона или плитки"",""При отсутствии мягкой поверхности лучше не выполнять упражнение"",""Можно использовать толстый ковер или гимнастические маты""]}",2024-01-15T10:00:00Z
69,plyometric-push-ups,notice,"Контролируйте приземление - не допускайте жесткого удара. Приземление должно быть мягким и контролируемым. Немедленно поглощайте силу приземления сгибанием локтей. Жесткое приземление может привести к травме запястий, локтей и плеч.",wrist,"{""recommendations"":[""Приземляйтесь мягко с небольшим сгибанием локтей"",""Не останавливайтесь в нижней точке сразу после приземления"",""Начните с небольшой высоты отрыва"",""Развивайте технику мягкого приземления""]}",2024-01-15T10:00:00Z
70,ring-push-ups,critical,"Начинайте с колец на высоте от пола и постепенно опускайте их по мере роста силы. Слишком низкое положение колец может привести к потере контроля и падению с серьезными последствиями.",shoulder,"{""recommendations"":[""Начинайте с колец на высоте 50-60 см от пола"",""Постепенно опускайте кольца по мере роста силы"",""Никогда не начинайте с пола без подготовки"",""Убедитесь в безопасном окружении перед началом""]}",2024-01-15T10:00:00Z
71,ring-push-ups,important,"Активно контролируйте стабильность колец на протяжении всего движения. Не допускайте чрезмерного разворота колец наружу, это создает опасную нагрузку на плечевые суставы и может привести к травме.",shoulder,"{""recommendations"":[""Держите локти направленными назад под углом 45 градусов"",""Активно сопротивляйтесь вращению колец наружу"",""Контролируйте кольца на протяжении всей амплитуды движения"",""При потере контроля немедленно остановитесь""]}",2024-01-15T10:00:00Z
72,ring-push-ups,important,"Требуется значительная сила кора для предотвращения провисания таза. Если не можете удерживать прямую линию тела, вернитесь к отжиманиям на стабильной поверхности для развития базовой силы.",spine,"{""recommendations"":[""Освойте сначала обычные отжимания до 20+ повторений"",""Развивайте силу планки до 60+ секунд"",""Напрягайте кор и ягодицы на протяжении всего движения"",""Прекратите упражнение при потере контроля""]}",2024-01-15T10:00:00Z
73,dumbbell-press-neutral-grip,critical,"Никогда не выполняйте упражнение без страховщика при работе с большими весами. Падение гантели может привести к серьезным травмам. Особенно опасно при усталости, когда контроль над гантелями снижается.",shoulder,"{""recommendations"":[""Используйте страховщика при работе с весами более 80% от максимума"",""Начинайте с легких весов для освоения техники нейтрального хвата"",""Используйте ограничители на скамье если они доступны"",""При усталости немедленно прекратите упражнение""]}",2024-01-15T10:00:00Z
