id,exercise_id,condition,severity,reason,alternatives,created_at
20,dumbbell-fly-flat-bench,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за растяжения в разведенном положении.,"{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""push-ups""]}",2024-01-15T10:00:00Z
21,dumbbell-fly-flat-bench,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
22,dumbbell-fly-floor,recent_surgery,absolute,Выполнение упражнения может помешать заживлению после недавней операции на груди или плечах.,"{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
23,dumbbell-fly-incline-bench,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за растяжения в разведенном положении.,"{""alternatives"":[""dumbbell-fly-floor"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
24,dumbbell-fly-incline-bench,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
25,cable-fly-flat,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за растяжения в разведенном положении.,"{""alternatives"":[""dumbbell-fly-floor"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
26,cable-fly-flat,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
27,cable-fly-standing,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за растяжения в разведенном положении.,"{""alternatives"":[""cable-fly-flat"",""dumbbell-fly-floor"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
28,cable-fly-standing,back_injury,relative,Стоячее положение может усугубить проблемы со спиной из-за необходимости стабилизации корпуса.,"{""alternatives"":[""cable-fly-flat"",""dumbbell-fly-floor"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
29,cable-fly-standing,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
30,pec-deck-fly,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за растяжения в разведенном положении.,"{""alternatives"":[""dumbbell-fly-floor"",""machine-chest-press-plate-loaded"",""push-ups""]}",2024-01-15T10:00:00Z
31,pec-deck-fly,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
32,cable-crossover-low-to-high,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за растяжения в разведенном положении.,"{""alternatives"":[""cable-fly-flat"",""dumbbell-fly-floor"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
33,cable-crossover-low-to-high,back_injury,relative,Стоячее положение может усугубить проблемы со спиной из-за необходимости стабилизации корпуса.,"{""alternatives"":[""cable-fly-flat"",""dumbbell-fly-floor"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
34,cable-crossover-low-to-high,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
35,dumbbell-pullover,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за растяжения в разведенном положении.,"{""alternatives"":[""dumbbell-fly-floor"",""machine-chest-press-plate-loaded"",""push-ups""]}",2024-01-15T10:00:00Z
36,dumbbell-pullover,back_injury,relative,Положение лежа с растяжением может усугубить проблемы со спиной.,"{""alternatives"":[""dumbbell-fly-floor"",""machine-chest-press-plate-loaded"",""push-ups""]}",2024-01-15T10:00:00Z
37,dumbbell-pullover,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
38,resistance-band-fly,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за растяжения в разведенном положении.,"{""alternatives"":[""dumbbell-fly-floor"",""machine-chest-press-plate-loaded"",""push-ups""]}",2024-01-15T10:00:00Z
39,resistance-band-fly,allergy_latex,absolute,"При аллергии на латекс избегайте упражнений с резиновыми лентами из латекса.","{""alternatives"":[""dumbbell-fly-floor"",""machine-chest-press-plate-loaded"",""push-ups""]}",2024-01-15T10:00:00Z
40,resistance-band-fly,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
41,incline-barbell-bench-press,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за положения рук над головой на наклонной скамье.,"{""alternatives"":[""dumbbell-bench-press-flat"",""incline-dumbbell-press"",""cable-fly-flat""]}",2024-01-15T10:00:00Z
42,incline-barbell-bench-press,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
43,decline-barbell-bench-press,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за положения вниз головой и нагрузки на плечи.,"{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""cable-fly-flat""]}",2024-01-15T10:00:00Z
44,decline-barbell-bench-press,hypertension,relative,"Положение вниз головой может резко повысить давление в голове и глазах, что особенно опасно при гипертонии и проблемах с давлением.","{""alternatives"":[""barbell-bench-press"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
45,close-grip-push-ups,wrist_injury,relative,Упражнение может усугубить травму запястья из-за узкой постановки рук и повышенной нагрузки на запястные суставы.,"{""alternatives"":[""push-ups"",""push-ups-on-handles"",""push-ups-on-fists""]}",2024-01-15T10:00:00Z
46,close-grip-push-ups,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за узкой постановки рук и специфической нагрузки на плечи.,"{""alternatives"":[""push-ups"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
47,wide-grip-push-ups,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за широкой постановки рук и повышенной нагрузки на плечевые суставы в растянутом положении.,"{""alternatives"":[""push-ups"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""push-ups-on-handles""]}",2024-01-15T10:00:00Z
48,wide-grip-push-ups,wrist_injury,relative,Упражнение может усугубить травму запястья из-за нагрузки на суставы при широкой постановке рук. Широкий хват может создавать дополнительную нагрузку на запястья.,"{""alternatives"":[""push-ups"",""push-ups-on-handles"",""push-ups-on-fists"",""dumbbell-bench-press-flat""]}",2024-01-15T10:00:00Z
49,decline-push-ups,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за наклонного положения и повышенной нагрузки на верхнюю часть тела и плечи.,"{""alternatives"":[""push-ups"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""push-ups-on-handles""]}",2024-01-15T10:00:00Z
50,decline-push-ups,blood_pressure_issues,relative,Наклонное положение с головой ниже ног может вызвать повышение артериального давления и головокружение у людей с проблемами давления. Избегайте этого упражнения при гипертонии или проблемах с давлением.,"{""alternatives"":[""push-ups"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""incline-dumbbell-press""]}",2024-01-15T10:00:00Z
51,incline-push-ups,shoulder_impingement,relative,"Упражнение может усугубить воспаление плечевого сустава из-за нагрузки на плечи, хотя упрощенная версия менее нагружающая. При проблемах с плечами начинайте с очень низкого возвышения или используйте альтернативные упражнения.","{""alternatives"":[""push-ups-wall"",""knee-push-ups"",""resistance-band-fly"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
52,incline-push-ups,wrist_injury,relative,Упражнение может усугубить травму запястья из-за нагрузки на суставы в упоре. При проблемах с запястьями используйте упоры для отжиманий или делайте упражнение на кулаках.,"{""alternatives"":[""push-ups-wall"",""knee-push-ups"",""push-ups-on-handles"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
53,plyometric-push-ups,wrist_injury,relative,"Взрывные движения и жесткое приземление создают значительную ударную нагрузку на запястья, что может усугубить существующие травмы. Высокий риск травмирования при неконтролируемом приземлении.","{""alternatives"":[""push-ups"",""decline-push-ups"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
54,plyometric-push-ups,shoulder_impingement,relative,"Взрывные движения и требование высокой взрывной силы могут усугубить проблемы с плечевыми суставами. Рекомендуется освоить сначала классические отжимания без отрыва рук.","{""alternatives"":[""push-ups"",""decline-push-ups"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
55,ring-push-ups,shoulder_impingement,relative,Нестабильность колец создает повышенную нагрузку на плечевые суставы и может усугубить воспаление. При проблемах с плечами используйте стабильные упоры или параллеты вместо колец.,"{""alternatives"":[""push-ups"",""push-ups-on-handles"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
56,ring-push-ups,wrist_injury,relative,Требует сильных запястий для контроля колец. Нестабильность и необходимость активного контроля колец могут усугубить травму запястий. При травмах запястий отложите упражнение до полного восстановления.,"{""alternatives"":[""push-ups"",""machine-chest-press-plate-loaded"",""dumbbell-bench-press-flat"",""incline-dumbbell-press""]}",2024-01-15T10:00:00Z
57,dumbbell-press-neutral-grip,shoulder_impingement,relative,"Хотя нейтральный хват более безопасен для плечевых суставов по сравнению с классическим жимом, упражнение все еще может усугубить воспаление при тяжелых случаях. Используйте легкие веса или попробуйте отжимания с упорами.","{""alternatives"":[""push-ups-on-handles"",""machine-chest-press-plate-loaded"",""resistance-band-fly"",""dumbbell-fly-floor""]}",2024-01-15T10:00:00Z
58,dumbbell-press-neutral-grip,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах, руках или спине. Отложите упражнение до полного восстановления и консультации с врачом.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
60,smith-machine-incline-bench-press,shoulder_impingement,relative,"Упражнение может усугубить воспаление плечевого сустава из-за положения рук над головой и наклонного положения. Используйте меньший угол наклона или попробуйте альтернативные упражнения.","{""alternatives"":[""incline-dumbbell-press"",""machine-chest-press-plate-loaded"",""cable-fly-flat"",""push-ups""]}",2024-01-15T10:00:00Z
61,smith-machine-incline-bench-press,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине. Отложите упражнение до полного восстановления и консультации с врачом.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
62,smith-machine-decline-bench-press,shoulder_impingement,relative,"Упражнение может усугубить воспаление плечевого сустава из-за положения вниз головой и нагрузки на плечи. Используйте меньший угол наклона или попробуйте альтернативные упражнения.","{""alternatives"":[""smith-machine-bench-press"",""machine-chest-press-plate-loaded"",""cable-fly-flat"",""push-ups""]}",2024-01-15T10:00:00Z
63,smith-machine-decline-bench-press,blood_pressure_issues,relative,"Положение головой вниз может резко повысить давление в голове и глазах, что особенно опасно при гипертонии и проблемах с давлением. Избегайте этого упражнения при проблемах с давлением.","{""alternatives"":[""smith-machine-bench-press"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""cable-fly-flat""]}",2024-01-15T10:00:00Z
64,cable-crossover-high-to-low,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за растяжения в разведенном положении и движения сверху вниз.,"{""alternatives"":[""cable-fly-flat"",""dumbbell-fly-floor"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
65,cable-crossover-high-to-low,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
66,one-arm-push-up,shoulder_impingement,absolute,"Односторонняя работа создает экстремальную нагрузку на плечевой сустав рабочей руки, что категорически противопоказано при импинджменте. Используйте двухсторонние упражнения для груди.","{""alternatives"":[""push-ups"",""close-grip-push-ups"",""decline-push-ups"",""dumbbell-bench-press-flat""]}",2024-01-15T10:00:00Z
67,one-arm-push-up,wrist_injury,absolute,"Нагрузка на запястный сустав экстремальна при выполнении на одной руке. При любых травмах запястья категорически избегайте этого упражнения.","{""alternatives"":[""machine-chest-press-plate-loaded"",""dumbbell-bench-press-flat"",""cable-fly-flat"",""push-ups на кулаках после восстановления""]}",2024-01-15T10:00:00Z
68,hammer-chest-press-one-arm,shoulder_impingement,relative,"Односторонняя работа создает повышенную нагрузку на плечевой сустав рабочей руки, что может усугубить импинджмент. Используйте легкие веса или перейдите на двусторонний жим в хаммере.","{""alternatives"":[""machine-chest-press-plate-loaded"",""dumbbell-bench-press-flat"",""cable-fly-flat"",""hammer-chest-press two-arm""]}",2024-01-15T10:00:00Z
69,hammer-chest-press-one-arm,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах, руках или спине. Отложите упражнение до полного восстановления и консультации с врачом.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
70,cable-pullover,shoulder_impingement,relative,"Упражнение может усугубить воспаление плечевого сустава из-за растяжения в позиции над головой. Используйте уменьшенную амплитуду или перейдите на альтернативное упражнение.","{""alternatives"":[""dumbbell-pullover"",""machine-chest-press-plate-loaded"",""cable-fly-flat"",""lat-pulldown""]}",2024-01-15T10:00:00Z
71,cable-pullover,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
72,cable-pullover,elbow_injury,relative,"Постоянное напряжение на локтевые суставы на протяжении всего движения может усугубить существующие травмы локтей. Используйте уменьшенный вес или перейдите на альтернативное упражнение.","{""alternatives"":[""dumbbell-pullover"",""lat-pulldown"",""machine-chest-press-plate-loaded"",""cable-fly-flat""]}",2024-01-15T10:00:00Z
73,cable-pullover,lower_back_injury,relative,"Стоячее положение с подъемом рук над головой создает нагрузку на нижнюю часть спины. При травмах поясницы используйте более легкий вес или альтернативные упражнения.","{""alternatives"":[""dumbbell-pullover"",""lat-pulldown"",""seated cable rows"",""легкие растяжки спины""]}",2024-01-15T10:00:00Z
74,dumbbell-fly-decline-bench,blood_pressure_issues,relative,"Положение головой вниз может резко повысить давление в голове и глазах, что особенно опасно при гипертонии и проблемах с давлением. Избегайте этого упражнения при проблемах с давлением.","{""alternatives"":[""dumbbell-fly-flat-bench"",""dumbbell-fly-floor"",""machine-chest-press-plate-loaded"",""cable-fly-flat""]}",2024-01-15T10:00:00Z
75,dumbbell-fly-decline-bench,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
76,weighted-push-ups,wrist_injury,relative,"Упражнение может усугубить травму запястья из-за повышенной нагрузки на запястные суставы под дополнительным весом. При проблемах с запястьями используйте упоры для отжиманий или отложите упражнение до восстановления.","{""alternatives"":[""push-ups"",""push-ups-on-handles"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
77,weighted-push-ups,shoulder_impingement,relative,"Дополнительный вес увеличивает нагрузку на плечевые суставы и может усугубить воспаление. При проблемах с плечами используйте легкое отягощение или перейдите на обычные отжимания без веса.","{""alternatives"":[""push-ups"",""push-ups-on-handles"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
78,dumbbell-bench-press-alternating-floor,shoulder_impingement,relative,"Упражнение может усугубить воспаление плечевого сустава из-за односторонней нагрузки и положения рук. Используйте легкие веса или перейдите на двусторонний жим гантелей.","{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""push-ups"",""incline-push-ups""]}",2024-01-15T10:00:00Z
79,dumbbell-bench-press-alternating-floor,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах, руках или спине. Отложите упражнение до полного восстановления и консультации с врачом.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
80,dumbbell-bench-press-alternating-floor,back_injury,relative,"Поочередное выполнение требует значительной стабилизации корпуса и может усугубить проблемы со спиной. При травмах спины используйте двусторонний жим гантелей или альтернативные упражнения.","{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""push-ups"",""incline-dumbbell-press""]}",2024-01-15T10:00:00Z
81,alternating-dumbbell-bench-press,shoulder_impingement,relative,"Упражнение может усугубить воспаление плечевого сустава из-за односторонней нагрузки, увеличенного диапазона движения и положения рук. Увеличенная амплитуда движения на скамье создает большую нагрузку на плечи по сравнению с версией на полу. Используйте легкие веса или перейдите на двусторонний жим гантелей на скамье.","{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""dumbbell-bench-press-alternating-floor"",""push-ups"",""incline-dumbbell-press""]}",2024-01-15T10:00:00Z
82,alternating-dumbbell-bench-press,back_pain,relative,"Поочередное выполнение на скамье требует значительной стабилизации корпуса на протяжении увеличенной амплитуды движения и может усугубить проблемы со спиной. При болях в спине используйте двусторонний жим гантелей на скамье или версию упражнения на полу с ограниченной амплитудой.","{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""dumbbell-bench-press-alternating-floor"",""push-ups"",""incline-dumbbell-press""]}",2024-01-15T10:00:00Z
83,incline-alternating-dumbbell-press,shoulder_impingement,relative,"Упражнение может усугубить воспаление плечевого сустава из-за односторонней нагрузки, увеличенного диапазона движения и наклонного положения. Наклонное положение с увеличенной амплитудой создает еще большую нагрузку на плечи по сравнению с горизонтальной версией. Используйте легкие веса или перейдите на двусторонний жим гантелей на наклонной скамье.","{""alternatives"":[""incline-dumbbell-press"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""alternating-dumbbell-bench-press"",""push-ups""]}",2024-01-15T10:00:00Z
84,incline-alternating-dumbbell-press,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах, руках или спине. Наклонное положение с поочередным выполнением создает значительную нагрузку на оперированные области. Отложите упражнение до полного восстановления и консультации с врачом.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
85,svend-press,wrist_injury,relative,"Упражнение требует сильного сжатия диска между ладонями, что может усугубить травму запястья. Изометрическое напряжение и давление на запястья могут вызвать дискомфорт. Используйте легкий вес или перейдите на альтернативные упражнения для груди.","{""alternatives"":[""dumbbell-fly-floor"",""resistance-band-fly"",""pec-deck-fly"",""push-ups""]}",2024-01-15T10:00:00Z
86,svend-press,shoulder_impingement,relative,"Упражнение может усугубить воспаление плечевого сустава из-за положения рук и изометрического напряжения. Если чувствуете дискомфорт в плечах, уменьшите вес или используйте альтернативные упражнения.","{""alternatives"":[""dumbbell-fly-floor"",""resistance-band-fly"",""pec-deck-fly"",""push-ups"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
87,neutral-grip-barbell-bench-press,recent_surgery,relative,"Недавние операции на плечах, грудной клетке или верхней части тела требуют консультации с врачом перед выполнением упражнения. Хотя нейтральный хват более безопасен, необходимо полное заживление после операции. Начните с легких весов и постепенно увеличивайте нагрузку под наблюдением специалиста.","{""alternatives"":[""dumbbell-press-neutral-grip"",""machine-chest-press-plate-loaded"",""push-ups"",""resistance-band-fly""]}",2024-01-15T10:00:00Z
88,neutral-grip-barbell-bench-press,wrist_injury,relative,"Острые травмы запястий могут усугубиться при выполнении упражнения, даже с нейтральным хватом. Если есть проблемы с запястьями, используйте обертывания для дополнительной поддержки или переключитесь на альтернативные упражнения до полного восстановления.","{""alternatives"":[""machine-chest-press-plate-loaded"",""pec-deck-fly"",""cable-fly-flat"",""push-ups""]}",2024-01-15T10:00:00Z
89,kettlebell-floor-press,shoulder_impingement,relative,"Упражнение может усугубить воспаление плечевого сустава, несмотря на ограниченный диапазон движения на полу. Если чувствуете дискомфорт в плечах, уменьшите вес или используйте альтернативные упражнения. Положение на полу обеспечивает некоторую защиту, но все равно требует осторожности.","{""alternatives"":[""dumbbell-fly-floor"",""resistance-band-fly"",""pec-deck-fly"",""push-ups"",""machine-chest-press-plate-loaded""]}",2024-01-15T10:00:00Z
90,kettlebell-floor-press,recent_surgery,relative,"Недавние операции на плечах, грудной клетке или верхней части тела требуют консультации с врачом перед выполнением упражнения. Положение на полу более безопасно, но необходимо полное заживление после операции. Начните с легких весов и постепенно увеличивайте нагрузку под наблюдением специалиста.","{""alternatives"":[""dumbbell-fly-floor"",""machine-chest-press-plate-loaded"",""push-ups"",""resistance-band-fly""]}",2024-01-15T10:00:00Z
91,landmine-press,shoulder_impingement,relative,"Упражнение может усугубить воспаление плечевого сустава из-за нагрузки на плечи в стоячем положении. Уникальная траектория движения создает естественную дугу, которая снижает нагрузку по сравнению с традиционными жимами, но все равно требует осторожности. Если чувствуете дискомфорт в плечах, уменьшите вес или используйте альтернативные упражнения.","{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""push-ups"",""cable-fly-flat""]}",2024-01-15T10:00:00Z
92,landmine-press,back_pain,relative,"Стоячее положение требует активной работы мышц кора для стабилизации позвоночника. При проблемах с нижней частью спины упражнение может усугубить боль. Если чувствуете дискомфорт в спине, уменьшите вес, убедитесь в правильной технике стабилизации кора или используйте альтернативные упражнения в положении лежа.","{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""push-ups"",""cable-fly-flat""]}",2024-01-15T10:00:00Z
93,trx-push-ups,shoulder_impingement,relative,"Нестабильность TRX петель создает повышенную нагрузку на плечевые суставы и может усугубить воспаление. При проблемах с плечами используйте стабильные упоры или обычные отжимания вместо TRX. Начните с более высокого положения петель или перейдите к более простым вариантам отжиманий.","{""alternatives"":[""push-ups"",""push-ups-on-handles"",""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""incline-push-ups""]}",2024-01-15T10:00:00Z
