id,keyword,description
183,широчайшие,Целевая мышечная группа
184,latissimus dorsi,Английское название мышц
185,lats,Сокращенное английское название
186,растяжение,Специфика упражнения
187,stretch,Английское название специфики
188,расширение грудной клетки,Специфика упражнения
189,отжимания с весом,Название упражнения
190,weighted push-ups,Английское название упражнения
191,weighted pushups,Альтернативное написание
192,отжимания с отягощением,Альтернативное название упражнения
193,push-ups with weight,Английское название с оборудованием
194,отжимания с жилетом,Альтернативное название упражнения
195,weighted push-up,Английское название единственное число
196,push-ups weighted,Альтернативное английское название
197,отягощенные отжимания,Альтернативное название упражнения
198,жим гантелей поочередно,Название упражнения
199,alternating dumbbell press floor,Английское название упражнения
200,alternating dumbbell floor press,Альтернативное английское название
201,поочередный жим,Альтернативное название упражнения
202,one arm dumbbell press,Альтернативное английское название
203,floor press,Специфика упражнения
204,лежа на полу,Специфика упражнения
205,dumbbell floor press,Альтернативное английское название
206,лежа на земле,Специфика упражнения
207,поочередно,Специфика выполнения
208,alternating,Английское название специфики
209,alternating dumbbell bench press,Английское название упражнения на скамье
210,alternating dumbbell press bench,Альтернативное английское название
211,поочередный жим гантелей,Альтернативное название упражнения
212,one arm dumbbell bench press,Альтернативное английское название с указанием скамьи
213,bench press alternating,Альтернативное английское название
214,лежа на скамье,Специфика упражнения
215,bench press unilateral,Английское название специфики односторонней работы
216,односторонний жим на скамье,Альтернативное название
217,unilateral bench press,Английское название одностороннего жима
218,жим гантелей наклон поочередно,Название упражнения на наклонной скамье
219,incline alternating dumbbell press,Английское название упражнения
220,alternating incline dumbbell press,Альтернативное английское название
221,поочередный жим наклон,Альтернативное название упражнения
222,one arm incline dumbbell press,Английское название одностороннего жима на наклонной скамье
223,unilateral incline press,Английское название одностороннего жима на наклонной скамье
224,верхняя часть груди поочередно,Целевая зона с указанием специфики выполнения
225,жим свенда,Название упражнения
226,svend press,Английское название упражнения
227,свенд,Сокращенное название упражнения
228,squeeze press,Альтернативное английское название
229,weight plate press,Английское название с указанием оборудования
230,пластина,Оборудование
231,weight plate,Английское название оборудования
232,диск от штанги,Оборудование
233,изометрическое напряжение,Специфика упражнения
234,isometric tension,Английское название специфики
235,внутренняя часть груди,Целевая зона
236,inner chest,Английское название целевой зоны
237,сжатие,Тип движения
238,squeeze,Английское название движения
238,жим штанги нейтральный хват,Русское название упражнения
239,neutral grip barbell bench press,Английское название упражнения
240,neutral grip barbell press,Альтернативное английское название
241,swiss bar bench press,Английское название с указанием оборудования
242,swiss bar press,Альтернативное английское название
243,швейцарский гриф,Оборудование
244,swiss bar,Английское название оборудования
245,нейтральный хват штанга,Специфика упражнения
246,neutral grip bench press,Альтернативное английское название
247,молотковый хват жим,Альтернативное название
248,hammer grip press,Английское название альтернативы
249,плечи безопасно жим,Специфика безопасности
250,shoulder friendly press,Английское название специфики
251,трицепс акцент жим,Целевая зона
252,triceps focus press,Английское название целевой зоны
253,внутренняя часть груди,Целевая зона
254,inner chest press,Английское название целевой зоны
255,жим гири,Название упражнения
256,kettlebell floor press,Английское название упражнения
257,kettlebell press,Альтернативное английское название
258,гиря,Оборудование
259,kettlebell,Английское название оборудования
260,жим гири лежа на полу,Полное название упражнения
261,floor press,Специфика упражнения
262,лежа на полу,Положение тела
263,lying on floor,Английское название положения тела
264,жим лэндмайн,Название упражнения
265,landmine press,Английское название упражнения
266,landmine,Оборудование
267,лэндмайн,Оборудование
268,функциональный жим,Альтернативное название упражнения
269,functional press,Английское название альтернативы
270,стабильность,Специфика упражнения
271,stability,Английское название специфики
272,отжимания в trx,Название упражнения
273,trx push-ups,Английское название упражнения
274,trx pushups,Альтернативное написание
275,trx отжимания,Альтернативное название упражнения
276,suspension trainer push-ups,Английское название с указанием оборудования
277,петли trx,Оборудование
278,trx петли,Оборудование
279,trx петли отжимания,Название упражнения с оборудованием
280,suspension trainer,Английское название оборудования
281,trx,Оборудование
282,функциональные отжимания,Альтернативное название упражнения
283,functional push-ups,Английское название альтернативы
287,алмазные отжимания,Название упражнения
288,diamond push-ups,Английское название упражнения
289,diamond pushups,Альтернативное написание
290,close grip diamond,Английское название специфики
291,ромб,Специфика упражнения
292,алмаз,Специфика упражнения
293,diamond shape push-ups,Альтернативное английское название
294,отжимания с паузой,Название упражнения
295,push-ups with pause,Английское название упражнения
296,pause push-ups,Альтернативное английское название упражнения
297,пауза,Специфика упражнения
298,pause,Английское название специфики
299,отжимания с задержкой,Альтернативное название упражнения
300,tempo push-ups,Английское название с указанием темпа
301,time under tension,Английское название специфики
302,отжимания лучника,Название упражнения
303,archer push-ups,Английское название упражнения
304,archer pushups,Альтернативное написание
305,лучник,Альтернативное название упражнения
306,archer,Английское название альтернативы
307,односторонняя нагрузка,Специфика упражнения
308,unilateral push-ups,Английское название специфики
309,жим штанги лежа на полу,Название упражнения
310,barbell floor press,Английское название упражнения
311,floor press barbell,Альтернативное английское название упражнения
312,силовая фиксация,Специфика упражнения
313,lockout strength,Английское название специфики
314,жим хаммер,Русское название упражнения в тренажёре Hammer Strength
315,hammer strength chest press,Английское название упражнения в тренажёре Hammer Strength
316,hammer strength,Название бренда и типа тренажёра
317,тренажер хаммер,Русское описание рычажного тренажёра Hammer Strength
318,independent lever press,Описание механики тренажёра с независимыми рычагами
319,наклонный хаммер,Русское название наклонного жима в тренажёре Hammer Strength
320,incline hammer strength press,Английское название наклонного жима в тренажёре Hammer Strength
321,hammer strength incline press,Альтернативное английское название наклонного жима в тренажёре Hammer Strength
322,upper chest machine press,Английское описание жима в тренажёре с акцентом на верх груди
323,взрывной жим медболом,Русское название упражнения
324,explosive medicine ball chest pass,Английское название упражнения
325,medball chest pass,Альтернативное английское название упражнения
326,медбол,Оборудование — медицинский мяч
327,medicine ball press,Английское название упражнения
328,explosive chest pass,Альтернативное название упражнения
329,подтягивания,Русское название упражнения
330,pull-up,Английское название упражнения
331,pullup,Альтернативное написание
332,подтягивание,Единственное число
333,широчайшие,Целевая мышечная группа
334,lats,Сокращенное английское название
335,спина,Целевая мышечная группа
336,back,Английское название целевой мышечной группы
337,бицепс,Вспомогательная мышечная группа
338,biceps,Английское название мышц
339,турник,Оборудование
340,pull-up bar,Английское название оборудования
341,подтягивания широким хватом,Название упражнения
342,wide grip pull-ups,Английское название упражнения
343,wide-grip pullups,Альтернативное написание
344,широкий хват,Специфика упражнения
345,pull-up wide,Альтернативное название
346,chin-up wide,Альтернативное название
347,подтягивания средним хватом,Название упражнения
348,medium grip pull-ups,Английское название упражнения
349,средний хват,Специфика упражнения
350,классические подтягивания,Альтернативное название
351,chin-ups,Альтернативное английское название
352,подтягивания узким хватом,Название упражнения
353,close grip pull-ups,Английское название упражнения
354,close-grip pullups,Альтернативное написание
355,узкий хват,Специфика упражнения
356,biceps pull-ups,Альтернативное английское название
357,narrow grip pull-ups,Альтернативное английское название
358,подтягивания обратным хватом,Название упражнения
359,underhand pull-ups,Английское название упражнения
360,reverse grip pull-ups,Альтернативное английское название
361,обратный хват,Специфика упражнения
362,chin-up,Альтернативное английское название
363,подтягивания нейтральным хватом,Название упражнения
364,neutral grip pull-ups,Английское название упражнения
365,parallel grip pull-ups,Альтернативное английское название
366,hammer grip pull-ups,Альтернативное английское название
367,нейтральный хват,Специфика упражнения
368,молотковый хват,Альтернативное название специфики
369,параллельный хват,Альтернативное название специфики
370,neutral pull-ups,Альтернативное английское название
371,latissimus dorsi,Английское название мышц
372,брахиалис,Вспомогательная мышечная группа
373,brachialis,Английское название мышц
374,ромбовидные,Целевая мышечная группа
375,rhomboids,Английское название мышц
376,средние дельты,Целевая мышечная группа
377,middle deltoid,Английское название мышц
378,задние дельты,Вспомогательная мышечная группа
379,posterior deltoid,Английское название мышц
380,rear deltoid,Альтернативное английское название
381,нижняя часть широчайших,Целевая зона
382,lower latissimus dorsi,Английское название целевой зоны
383,подтягивания лучника,Название упражнения
384,archer pull-ups,Английское название упражнения
385,archer pullups,Альтернативное написание
386,односторонние подтягивания,Альтернативное название упражнения
387,unilateral pull-ups,Английское название специфики
388,продвинутые подтягивания,Специфика упражнения
389,advanced pull-ups,Английское название специфики
390,лучник,Альтернативное название упражнения
391,archer,Английское название альтернативы
392,односторонняя нагрузка,Специфика упражнения
393,подтягивания на одной руке,Название упражнения
394,one arm pull-up,Английское название упражнения
395,one-arm pull-up,Альтернативное английское название упражнения
396,single arm pull-up,Альтернативное английское название упражнения
397,экспертные подтягивания,Специфика упражнения
398,expert pull-ups,Английское название специфики
399,одна рука,Специфика упражнения
400,single arm,Английское название специфики
401,подтягивания с отягощением,Название упражнения
402,weighted pull-ups,Английское название упражнения
403,weighted pullups,Альтернативное написание
404,подтягивания с весом,Альтернативное название упражнения
405,pull-ups with weight,Английское название с оборудованием
406,подтягивания с поясом,Альтернативное название упражнения
407,weighted pull-up,Английское название единственное число
408,pull-ups weighted,Альтернативное английское название
409,отягощенные подтягивания,Альтернативное название упражнения
410,dip belt pull-ups,Английское название с оборудованием
411,подтягивания с l-ситом,Название упражнения
412,l-sit pull-ups,Английское название упражнения
413,l sit pull-ups,Альтернативное написание
414,подтягивания с ногами,Альтернативное название упражнения
415,pull-ups with legs,Английское название с указанием специфики
416,l-sit pullup,Альтернативное английское написание
417,l-сит подтягивания,Альтернативное название упражнения
418,core pull-ups,Английское название с указанием целевой зоны
419,подтягивания за голову,Название упражнения
420,behind neck pull-ups,Английское название упражнения
421,behind-neck pull-ups,Альтернативное английское название упражнения
422,pull-ups behind neck,Альтернативное английское название упражнения
423,neck pull-ups,Альтернативное английское название упражнения
424,за головой,Специфика упражнения
425,rear delts,Английское название целевой зоны
426,задние дельты,Целевая зона
427,upper back,Английское название целевой зоны
428,верхняя часть спины,Целевая зона
429,тяга верхнего блока в кроссовере,Название упражнения
430,cable pulldown standing,Английское название упражнения
431,standing cable pulldown,Альтернативное английское название упражнения
432,кроссовер тяга,Альтернативное название упражнения
433,cable lat pulldown standing,Английское название упражнения с указанием мышц
434,тяга кабели стоя,Альтернативное название упражнения
435,standing lat pulldown,Альтернативное английское название упражнения
436,функциональная тяга,Специфика упражнения
437,functional pulldown,Английское название специфики
438,тяга верхнего блока сидя в кроссовере,Название упражнения
439,cable pulldown seated,Английское название упражнения
440,seated cable pulldown,Альтернативное английское название упражнения
441,кроссовер тяга сидя,Альтернативное название упражнения
442,cable lat pulldown seated,Английское название упражнения с указанием мышц
443,тяга кабели сидя,Альтернативное название упражнения
444,seated lat pulldown,Альтернативное английское название упражнения
445,тяга верхнего блока кроссовер,Альтернативное название упражнения
446,австралийские подтягивания,Русское название упражнения
447,australian pull-ups,Английское название упражнения
448,australian pullups,Альтернативное написание
449,горизонтальные подтягивания,Альтернативное название упражнения
450,horizontal pull-ups,Английское название альтернативы
451,подтягивания лежа,Альтернативное название упражнения
452,lying pull-ups,Английское название альтернативы
453,inverted row,Английское название альтернативы
454,обратная тяга,Альтернативное название упражнения
455,reverse row,Английское название альтернативы
456,горизонтальная тяга,Тип движения
457,horizontal pull,Английское название типа движения
458,ноги на возвышении,Специфика упражнения
459,feet elevated,Английское название специфики
460,обратный хват горизонтальный,Специфика упражнения
461,underhand horizontal pull,Английское название специфики
462,тяга гантели одной рукой,Название упражнения
463,dumbbell one arm row,Английское название упражнения
464,one-arm row,Альтернативное английское название упражнения
465,односторонняя тяга,Альтернативное название упражнения
466,unilateral row,Английское название специфики
467,single arm row,Альтернативное английское название упражнения
468,тяга гантелей в наклоне,Название упражнения
469,dumbbell bent over row,Английское название упражнения
470,bent over row,Альтернативное английское название упражнения
471,тяга в наклоне,Альтернативное название упражнения
472,row,Английское название типа движения
473,тяга гантелей на наклонной скамье,Название упражнения
474,dumbbell incline bench row,Английское название упражнения
475,incline bench row,Альтернативное английское название упражнения
476,тяга на скамье,Альтернативное название упражнения
477,row на скамье,Альтернативное название упражнения
478,безопасная тяга,Специфика упражнения
479,supported row,Английское название специфики
480,тяга в планке,Название упражнения
481,plank row,Английское название упражнения
482,renegade row,Альтернативное английское название упражнения
483,планка тяга,Альтернативное название упражнения
484,функциональная тяга,Специфика упражнения
485,core row,Английское название специфики
486,стабильность,Специфика упражнения
487,stability,Английское название специфики
488,тяга горизонтального блока,Название упражнения
489,cable horizontal row,Английское название упражнения
490,seated cable row,Английское название упражнения сидя
491,standing cable row,Английское название упражнения стоя
492,one arm cable row,Английское название упражнения одной рукой
493,wide grip cable row,Английское название упражнения широким хватом
494,close grip cable row,Английское название упражнения узким хватом
495,тяга сидя,Альтернативное название упражнения
496,тяга стоя,Альтернативное название упражнения
497,тяга одной рукой,Альтернативное название упражнения
498,тяга широким хватом,Альтернативное название упражнения
499,тяга узким хватом,Альтернативное название упражнения
500,horizontal row,Альтернативное английское название
501,cable row seated,Альтернативное английское название
502,cable row standing,Альтернативное английское название
503,single arm cable row,Альтернативное английское название
504,wide grip row,Альтернативное английское название
505,close grip row,Альтернативное английское название
506,блочный тренажер тяга,Оборудование и упражнение
507,кабельная тяга,Альтернативное название
508,cable rowing,Альтернативное английское название
509,тяга в хаммере,Русское название упражнения
510,hammer strength row,Английское название упражнения
511,hammer row,Альтернативное английское название
512,тяга тренажер хаммер,Русское название с оборудованием
513,hammer strength row machine,Английское название с оборудованием
514,рычажный тренажер тяга,Тип тренажера
515,independent lever row,Английское описание механики тренажера
516,т-тяга,Русское название упражнения
517,t-bar row,Английское название упражнения
518,t bar row,Альтернативное английское название
519,тяга т-образная,Русское название с описанием
520,t-bar row machine,Английское название с оборудованием
521,т-образный тренажер,Оборудование
522,t-bar machine,Английское название оборудования
