exercise_id,purpose_id
dumbbell-bench-press-alternating-floor,2
alternating-dumbbell-bench-press,1
alternating-dumbbell-bench-press,2
alternating-dumbbell-bench-press,3
incline-alternating-dumbbell-press,1
incline-alternating-dumbbell-press,2
svend-press,1
svend-press,2
neutral-grip-barbell-bench-press,1
neutral-grip-barbell-bench-press,2
kettlebell-floor-press,1
kettlebell-floor-press,2
kettlebell-floor-press,3
landmine-press,1
landmine-press,2
landmine-press,3
trx-push-ups,1
trx-push-ups,2
trx-push-ups,3
diamond-push-ups,1
diamond-push-ups,2
diamond-push-ups,3
push-ups-with-pause,1
push-ups-with-pause,2
push-ups-with-pause,3
archer-push-ups,1
archer-push-ups,2
barbell-floor-press,1
barbell-floor-press,2
archer-push-ups,3
hammer-strength-chest-press,1
hammer-strength-chest-press,2
standing-cable-crossover-press,1
standing-cable-crossover-press,2
standing-cable-crossover-press,3
incline-hammer-strength-press,1
incline-hammer-strength-press,2
explosive-medicine-ball-press,1
explosive-medicine-ball-press,3
pull-ups-wide-grip,1
pull-ups-wide-grip,2
pull-ups-wide-grip,3
pull-ups-wide-grip,4
pull-ups-medium-grip,1
pull-ups-medium-grip,2
pull-ups-medium-grip,3
pull-ups-medium-grip,4
pull-ups-close-grip,1
pull-ups-close-grip,2
pull-ups-close-grip,3
pull-ups-close-grip,4
pull-ups-underhand-grip,1
pull-ups-underhand-grip,2
pull-ups-underhand-grip,3
pull-ups-underhand-grip,4
pull-ups-neutral-grip,1
pull-ups-neutral-grip,2
pull-ups-neutral-grip,3
pull-ups-neutral-grip,4
pull-ups-archer,1
pull-ups-archer,2
pull-ups-archer,3
pull-ups-one-arm,1
pull-ups-one-arm,2
pull-ups-weighted,1
pull-ups-weighted,2
pull-ups-weighted,3
pull-ups-l-sit,1
pull-ups-l-sit,2
pull-ups-l-sit,3
pull-ups-behind-neck,1
pull-ups-behind-neck,2
pull-ups-behind-neck,3
explosive-pull-ups,1
explosive-pull-ups,2
scapular-retraction-hang,1
scapular-retraction-hang,5
dead-hang,1
dead-hang,5
chest-to-bar-pull-ups,1
chest-to-bar-pull-ups,2
muscle-up,1
muscle-up,2
pull-ups-rings,1
pull-ups-rings,2
pull-ups-rings,3
pull-ups-rings-wide-grip,1
pull-ups-rings-wide-grip,2
pull-ups-rings-wide-grip,3
trx-row-standing,1
trx-row-standing,2
trx-row-standing,3
trx-pull-ups-assisted,1
trx-pull-ups-assisted,2
trx-pull-ups-assisted,3
lat-pulldown-wide-grip,1
lat-pulldown-wide-grip,2
lat-pulldown-medium-grip,1
lat-pulldown-medium-grip,2
lat-pulldown-close-grip,1
lat-pulldown-close-grip,2
lat-pulldown-underhand-grip,1
lat-pulldown-underhand-grip,2
lat-pulldown-neutral-grip,1
lat-pulldown-neutral-grip,2
lat-pulldown-behind-neck,1
lat-pulldown-behind-neck,2
lat-pulldown-straight-arm,1
lat-pulldown-straight-arm,2
lat-pulldown-straight-arm,3
lat-pulldown-one-arm,1
lat-pulldown-one-arm,2
lat-pulldown-one-arm,3
lat-pulldown-wide-grip-chest,1
lat-pulldown-wide-grip-chest,2
cable-pulldown-standing,1
cable-pulldown-standing,2
cable-pulldown-standing,3
cable-pulldown-seated,1
cable-pulldown-seated,2
australian-pull-ups,1
australian-pull-ups,2
australian-pull-ups,3
australian-pull-ups-feet-elevated,1
australian-pull-ups-feet-elevated,2
australian-pull-ups-feet-elevated,3
australian-pull-ups-underhand-grip,1
australian-pull-ups-underhand-grip,2
australian-pull-ups-underhand-grip,3
dumbbell-one-arm-row,1
dumbbell-one-arm-row,2
dumbbell-bent-over-row,1
dumbbell-bent-over-row,2
dumbbell-incline-bench-row,1
dumbbell-incline-bench-row,2
plank-row,1
plank-row,2
barbell-bent-over-row,1
barbell-bent-over-row,2
barbell-bent-over-row-underhand,1
barbell-bent-over-row-underhand,2
yates-row,1
yates-row,2
pendlay-row,1
pendlay-row,2
ez-bar-bent-over-row,1
ez-bar-bent-over-row,2
swiss-bar-row,1
swiss-bar-row,2
cable-seated-row,1
cable-seated-row,2
cable-standing-row,1
cable-standing-row,2
cable-one-arm-row,1
cable-one-arm-row,2
cable-wide-grip-row,1
cable-wide-grip-row,2
cable-close-grip-row,1
cable-close-grip-row,2
cable-horizontal-row-underhand-grip,1
cable-horizontal-row-underhand-grip,2
cable-horizontal-row-neutral-grip,1
cable-horizontal-row-neutral-grip,2
cable-crossover-row-high,1
cable-crossover-row-high,2
cable-crossover-row-low,1
cable-crossover-row-low,2
cable-horizontal-row-kneeling,1
cable-horizontal-row-kneeling,2
hammer-strength-row,1
hammer-strength-row,2
t-bar-row-machine,1
t-bar-row-machine,2
trx-row,1
trx-row,2
trx-row,3
trx-row-wide-grip,1
trx-row-wide-grip,2
trx-row-wide-grip,3
trx-row-close-grip,1
trx-row-close-grip,2
trx-row-close-grip,3
trx-row-archer,1
trx-row-archer,2
trx-row-archer,3
