id,type,name,description,difficulty,category,primary_muscle_group,tracking_type,location,minimum_experience,popularity_score,is_verified,certification_source,version,created_at,updated_at,metadata
dumbbell-fly-floor,strength,Разведение гантелей лежа на полу,"Безопасное изолирующее упражнение для грудных мышц с ограниченным диапазоном движения. Выполняется лежа на полу с гантелями, что предотвращает чрезмерное растяжение плечевых суставов. Идеально подходит для начинающих и людей с проблемами плеч.",beginner,strength-isolation,chest,weight-reps,both,0,70,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""fly"",""beginner-friendly"",""home-workout""],""estimatedDuration"":240,""caloriesPerMinute"":5,""searchKeywords"":[""разведение гантелей"",""dumbbell fly floor"",""грудь"",""изоляция"",""пол"",""безопасно""]}"
dumbbell-fly-incline-bench,strength,Разведение гантелей на наклонной скамье,"Изолирующее упражнение для грудных мышц с акцентом на верхнюю часть груди. Выполняется на скамье с положительным наклоном 30-45 градусов. Более сложное упражнение, требующее хорошего контроля и координации. Отлично дополняет горизонтальные разведения для полного развития груди.",intermediate,strength-isolation,chest,weight-reps,gym,6,80,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""fly"",""incline""],""estimatedDuration"":300,""caloriesPerMinute"":6,""searchKeywords"":[""разведение гантелей наклон"",""dumbbell fly incline"",""грудь верх"",""изоляция"",""наклонная скамья""]}"
cable-fly-flat,strength,Сведение рук в кроссовере лежа,Изолирующее упражнение для грудных мышц с постоянным натяжением кабелей на протяжении всей амплитуды движения. Выполняется лежа на горизонтальной скамье с использованием кроссовера. Обеспечивает постоянное напряжение мышц и отлично подходит для завершения тренировки груди.,intermediate,strength-isolation,chest,weight-reps,gym,6,85,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""cable"",""fly""],""estimatedDuration"":300,""caloriesPerMinute"":7,""searchKeywords"":[""сведение рук кроссовер"",""cable fly"",""грудь"",""кабели"",""постоянное напряжение""]}"
cable-fly-standing,strength,Сведение рук в кроссовере стоя,Функциональное изолирующее упражнение для грудных мышц с постоянным натяжением кабелей. Выполняется стоя с использованием кроссовера. Требует стабилизации корпуса и вовлекает больше стабилизирующих мышц. Отлично подходит для развития функциональной силы и координации.,intermediate,strength-isolation,chest,weight-reps,gym,6,80,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""cable"",""fly"",""functional""],""estimatedDuration"":300,""caloriesPerMinute"":8,""searchKeywords"":[""сведение рук стоя"",""cable fly standing"",""грудь"",""кабели"",""функциональное""]}"
pec-deck-fly,strength,Разведение в тренажере Пек-дек,"Безопасное изолирующее упражнение для грудных мышц с фиксированной траекторией движения. Выполняется в специальном тренажере Пек-дек, который обеспечивает стабильную и безопасную изоляцию грудных мышц. Отлично подходит для начинающих и людей с проблемами плеч.",beginner,strength-isolation,chest,weight-reps,gym,6,75,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""machine"",""fly"",""safe""],""estimatedDuration"":300,""caloriesPerMinute"":6,""searchKeywords"":[""пек дек"",""pec deck"",""грудь"",""тренажер"",""безопасно""]}"
cable-crossover-low-to-high,strength,Кроссовер снизу вверх,"Изолирующее упражнение для грудных мышц с акцентом на верхнюю часть груди. Выполняется стоя с использованием кроссовера, где кабели установлены в нижнем положении. Обеспечивает постоянное натяжение и отлично прорабатывает верхнюю часть грудных мышц.",intermediate,strength-isolation,chest,weight-reps,gym,6,80,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""cable"",""fly"",""upper-chest""],""estimatedDuration"":300,""caloriesPerMinute"":7,""searchKeywords"":[""кроссовер снизу"",""cable crossover low"",""грудь верх"",""кабели"",""верхняя часть""]}"
dumbbell-pullover,strength,Пуловер с гантелью,"Изолирующее упражнение для грудных мышц и широчайших с акцентом на растяжение и расширение грудной клетки. Выполняется лежа на скамье с гантелью, держа ее обеими руками. Отлично подходит для развития грудных мышц и улучшения осанки.",intermediate,strength-isolation,chest,weight-reps,gym,6,75,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""pullover"",""stretch""],""estimatedDuration"":300,""caloriesPerMinute"":6,""searchKeywords"":[""пуловер"",""dumbbell pullover"",""грудь"",""растяжение"",""широчайшие""]}"
resistance-band-fly,strength,Разведение с резиновыми лентами,"Домашнее изолирующее упражнение для грудных мышц с использованием резиновых лент. Выполняется стоя или сидя с лентами, обеспечивающими постоянное натяжение. Отлично подходит для домашних тренировок, восстановления и начинающих.",beginner,strength-isolation,chest,bodyweight-reps,home,0,65,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""fly"",""home-workout"",""beginner-friendly""],""estimatedDuration"":240,""caloriesPerMinute"":5,""searchKeywords"":[""разведение ленты"",""resistance band fly"",""грудь"",""дома"",""резинки""]}"
incline-barbell-bench-press,strength,Жим штанги лежа на наклонной скамье,"Классическое базовое упражнение для развития верхней части грудных мышц, передних дельт и трицепсов. Выполняется лежа на наклонной скамье под углом 30-45 градусов со штангой. Позволяет работать с большими весами и обеспечивает максимальное развитие силы верха груди. Отлично дополняет горизонтальный жим для полного развития грудных мышц.",intermediate,strength-compound,chest,weight-reps,gym,6,85,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""compound"",""gym-equipment"",""incline""],""estimatedDuration"":300,""caloriesPerMinute"":10,""searchKeywords"":[""жим штанги наклон"",""incline barbell bench press"",""верх груди"",""пекторальные"",""наклонная скамья"",""barbell incline press"",""жим наклон""]}"
decline-barbell-bench-press,strength,Жим штанги лежа на скамье с отрицательным наклоном,"Классическое базовое упражнение для развития нижней части грудных мышц, передних дельт и трицепсов. Выполняется лежа на скамье с отрицательным наклоном -15 градусов со штангой. Позволяет работать с большими весами и обеспечивает максимальное развитие силы низа груди. Отлично дополняет горизонтальный и наклонный жим для полного развития грудных мышц.",intermediate,strength-compound,chest,weight-reps,gym,6,82,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""compound"",""gym-equipment"",""decline""],""estimatedDuration"":300,""caloriesPerMinute"":10,""searchKeywords"":[""жим штанги decline"",""decline barbell bench press"",""низ груди"",""пекторальные"",""отрицательный наклон"",""barbell decline press"",""жим наклон вниз""]}"
close-grip-push-ups,strength,Отжимания с узкой постановкой рук,"Базовое упражнение с собственным весом для развития трицепсов, внутренней части грудных мышц и передних дельт. Выполняется в планке с узкой постановкой рук (на ширине плеч или уже). Узкий хват создает больший акцент на трицепсах по сравнению с обычными отжиманиями, делая упражнение более сложным и эффективным для развития силы рук и груди. Отлично подходит для домашних тренировок.",intermediate,strength-compound,chest,bodyweight-reps,both,3,80,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""beginner-friendly"",""home-workout"",""no-equipment"",""triceps-focus""],""estimatedDuration"":240,""caloriesPerMinute"":7,""searchKeywords"":[""отжимания узким хватом"",""close grip push-ups"",""close-grip pushups"",""трицепс"",""внутренняя часть груди"",""narrow push-ups"",""трицепсовые отжимания""]}"
wide-grip-push-ups,strength,Отжимания с широкой постановкой рук,"Базовое упражнение с собственным весом для развития грудных мышц, передних дельт и трицепсов. Выполняется в планке с широкой постановкой рук (значительно шире плеч). Широкий хват создает больший акцент на грудные мышцы по сравнению с обычными отжиманиями, делая упражнение более легким для трицепсов, но требующим хорошей гибкости плеч. Отлично подходит для начинающих и домашних тренировок, так как позволяет выполнять больше повторений за счет меньшей нагрузки на трицепсы.",beginner,strength-compound,chest,bodyweight-reps,both,0,85,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""beginner-friendly"",""home-workout"",""no-equipment"",""chest-focus""],""estimatedDuration"":240,""caloriesPerMinute"":7,""searchKeywords"":[""отжимания широким хватом"",""wide grip push-ups"",""wide-grip pushups"",""грудь"",""пекторальные"",""широкая постановка рук"",""chest push-ups""]}"
decline-push-ups,strength,Отжимания с наклоном - ноги на возвышении,"Продвинутое упражнение с собственным весом для развития верхней части грудных мышц, передних дельт и трицепсов. Выполняется в планке с ногами, расположенными на возвышении (скамья, стул, платформа). Наклон увеличивает нагрузку на верхнюю часть груди и плечи, усложняя упражнение по сравнению с классическими отжиманиями. Требует хорошей стабильности корпуса и силы верхней части тела. Отлично подходит для домашних тренировок и прогрессии от базовых отжиманий.",intermediate,strength-compound,chest,bodyweight-reps,both,3,82,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""bodyweight"",""home-workout"",""intermediate-friendly"",""chest-upper""],""estimatedDuration"":240,""caloriesPerMinute"":8,""searchKeywords"":[""отжимания наклон"",""decline push-ups"",""decline pushups"",""верх груди"",""пекторальные"",""ноги на возвышении"",""incline push-ups"",""отжимания с наклоном""]}"
incline-push-ups,strength,Отжимания с наклоном - руки на возвышении,"Базовое упражнение с собственным весом для развития грудных мышц, передних дельт и трицепсов. Выполняется в планке с постановкой рук на возвышенность (скамья, стул, платформа). Упрощенная версия классических отжиманий за счет уменьшения нагрузки благодаря углу наклона. Отлично подходит для начинающих, людей с ограниченными возможностями и прогрессии к полноценным отжиманиям от пола.",beginner,strength-compound,chest,bodyweight-reps,both,0,80,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""beginner-friendly"",""home-workout"",""no-equipment"",""bodyweight""],""estimatedDuration"":180,""caloriesPerMinute"":5,""searchKeywords"":[""отжимания с наклоном"",""incline push-ups"",""incline pushups"",""руки на возвышении"",""hands elevated"",""грудь"",""пекторальные"",""упрощенные отжимания""]}"
plyometric-push-ups,strength,Плиометрические отжимания,"Продвинутое упражнение с собственным весом для развития взрывной силы, мощности и скорости грудных мышц, передних дельт и трицепсов. Выполняется в планке с мощным взрывным отталкиванием от пола, подъемом корпуса вверх и отрывом рук от земли. Требует высокой координации, контроля и стабильности корпуса для безопасного выполнения. Отлично подходит для спортсменов и продвинутых любителей фитнеса, стремящихся развить взрывную силу верхней части тела. Также известны как отжимания с хлопком, но базовый вариант выполняется без хлопка.",advanced,plyometric,chest,bodyweight-reps,both,6,75,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""advanced-only"",""home-workout"",""bodyweight"",""plyometric"",""explosive""],""estimatedDuration"":180,""caloriesPerMinute"":12,""searchKeywords"":[""плиометрические отжимания"",""plyometric push-ups"",""взрывные отжимания"",""explosive push-ups"",""plyo"",""power push-ups"",""отжимания с отрывом рук"",""грудь"",""взрывная сила""]}"
ring-push-ups,strength,Отжимания на кольцах,"Продвинутое упражнение с собственным весом для развития грудных мышц, передних дельт, трицепсов и стабилизаторов корпуса с использованием гимнастических колец. Нестабильность колец требует значительно большего контроля, координации и силы стабилизирующих мышц по сравнению с классическими отжиманиями. Отлично подходит для спортсменов, гимнастов и продвинутых любителей фитнеса, стремящихся развить функциональную силу и стабильность верхней части тела.",advanced,strength-compound,chest,bodyweight-reps,both,12,70,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""advanced-only"",""bodyweight"",""unstable""],""estimatedDuration"":300,""caloriesPerMinute"":9,""searchKeywords"":[""отжимания на кольцах"",""ring push-ups"",""gymnastic rings push-ups"",""кольца"",""rings"",""гимнастические кольца"",""нестабильная поверхность"",""unstable surface"",""продвинутые отжимания"",""advanced push-ups""]}"
dumbbell-press-neutral-grip,strength,Жим гантелей с нейтральным хватом,"Базовое силовое упражнение для развития грудных мышц, трицепсов и передних дельт с использованием нейтрального хвата (ладони направлены друг к другу). Выполняется лежа на горизонтальной скамье с гантелями в нейтральном положении. Нейтральный хват снижает нагрузку на плечевые суставы по сравнению с классическим жимом, акцентируя работу трицепсов и внутренней части груди. Отлично подходит для людей с проблемами плеч и дополняет традиционные жимы для полного развития мышц верхней части тела.",intermediate,strength-compound,chest,weight-reps,gym,6,78,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""compound"",""gym-equipment"",""neutral-grip"",""shoulder-friendly""],""estimatedDuration"":300,""caloriesPerMinute"":8,""searchKeywords"":[""жим гантелей нейтральный хват"",""dumbbell press neutral grip"",""нейтральный хват"",""neutral grip press"",""молотковый хват"",""hammer grip"",""грудь"",""трицепс"",""плечи безопасно""]}"
smith-machine-incline-bench-press,strength,Жим в машине Смита на наклонной скамье,"Безопасное базовое упражнение для развития верхней части грудных мышц, передних дельт и трицепсов. Выполняется лежа на наклонной скамье под углом 30-45 градусов в машине Смита с фиксированной вертикальной траекторией движения штанги. Отлично подходит для тренировок без страховщика и позволяет сосредоточиться на технике выполнения. Обеспечивает стабильную нагрузку на верхнюю часть грудных мышц, плечи и трицепсы с контролируемым движением и акцентом на верх груди.",intermediate,strength-compound,chest,weight-reps,gym,6,77,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""compound"",""gym-equipment"",""machine"",""safe"",""no-spotter"",""incline"",""chest-upper""],""estimatedDuration"":300,""caloriesPerMinute"":8,""searchKeywords"":[""жим в смита наклон"",""smith machine incline press"",""машина смита наклон"",""жим наклонная скамья смит"",""incline smith machine"",""верх груди смит"",""верхняя часть груди машина смита"",""smith incline bench press""]}"
smith-machine-decline-bench-press,strength,Жим в машине Смита на скамье с отрицательным наклоном,"Безопасное базовое упражнение для развития нижней части грудных мышц, передних дельт и трицепсов. Выполняется лежа на скамье с отрицательным наклоном -15-30 градусов в машине Смита с фиксированной вертикальной траекторией движения штанги. Отлично подходит для тренировок без страховщика и позволяет сосредоточиться на технике выполнения. Обеспечивает стабильную нагрузку на нижнюю часть грудных мышц, плечи и трицепсы с контролируемым движением и акцентом на низ груди. Положение головой вниз требует особого контроля дыхания и надежной фиксации ног.",intermediate,strength-compound,chest,weight-reps,gym,6,76,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""compound"",""gym-equipment"",""machine"",""safe"",""no-spotter"",""decline"",""chest-lower""],""estimatedDuration"":300,""caloriesPerMinute"":8,""searchKeywords"":[""жим в смита decline"",""smith machine decline press"",""машина смита отрицательный наклон"",""жим decline скамья смит"",""decline smith machine"",""низ груди смит"",""нижняя часть груди машина смита"",""smith decline bench press"",""жим наклон вниз смит""]}"
cable-crossover-high-to-low,strength,Кроссовер сверху вниз,"Изолирующее упражнение для грудных мышц с акцентом на нижнюю часть груди. Выполняется стоя с использованием кроссовера, где кабели установлены в верхнем положении. Движение выполняется сверху вниз и внутрь, обеспечивая постоянное натяжение на протяжении всей амплитуды и отлично прорабатывая нижнюю часть грудных мышц. Требует хорошей стабильности корпуса и контроля движения.",intermediate,strength-isolation,chest,weight-reps,gym,6,80,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""cable"",""fly"",""chest-lower""],""estimatedDuration"":300,""caloriesPerMinute"":7,""searchKeywords"":[""кроссовер сверху"",""cable crossover high"",""грудь низ"",""кабели"",""нижняя часть"",""cable crossover high to low"",""кроссовер сверху вниз""]}"
one-arm-push-up,strength,Отжимания на одной руке,"Продвинутое упражнение с собственным весом для развития максимальной силы грудных мышц, трицепсов, передних дельт и стабилизаторов корпуса. Выполняется в планке с опорой на одну руку, вторая рука за спиной. Широкая постановка ног необходима для стабильности и предотвращения ротации корпуса. Требует исключительной силы кора, стабильности и координации для правильного выполнения.",advanced,strength-compound,chest,bodyweight-reps,both,6,70,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""bodyweight"",""advanced-only"",""home-workout""],""estimatedDuration"":300,""caloriesPerMinute"":10,""searchKeywords"":[""отжимания на одной руке"",""one arm push up"",""single arm push up"",""односторонние отжимания"",""продвинутые отжимания"",""упражнение для груди"",""single arm pushup""]}"
hammer-chest-press-one-arm,strength,Жим в хаммере одной рукой,"Продвинутое силовое упражнение для развития грудных мышц, передних дельт и трицепсов с акцентом на одностороннюю работу и стабилизацию корпуса. Выполняется одной рукой на рычажном тренажере Хаммер (Hammer Strength) с независимыми рукоятками. Односторонняя работа развивает функциональную силу, улучшает межмышечную координацию и выявляет дисбалансы между сторонами тела. Требует хорошей стабильности корпуса и контроля движения для предотвращения компенсаций и ротации. Отлично дополняет двусторонние жимы для полного развития мышц верхней части тела.",advanced,strength-compound,chest,weight-reps,gym,6,72,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""compound"",""gym-equipment"",""machine"",""one-arm"",""unilateral""],""estimatedDuration"":300,""caloriesPerMinute"":8,""searchKeywords"":[""жим в хаммере одной рукой"",""hammer chest press one arm"",""односторонний жим"",""single arm chest press"",""hammer strength"",""односторонняя работа"",""unilateral chest press""]}"
cable-pullover,strength,Пуловер с кабелем,"Изолирующее упражнение для развития широчайших мышц и грудных мышц с акцентом на растяжение и расширение грудной клетки. Выполняется стоя с использованием блочного тренажера с кабелем в верхнем положении. Постоянное натяжение кабеля обеспечивает равномерную нагрузку на всем протяжении амплитуды движения, что превосходит версию с гантелей. Отлично развивает ширину и толщину спины, улучшает осанку и дополняет базовые тяговые упражнения для полного развития верхней части тела.",intermediate,strength-isolation,back,weight-reps,gym,6,78,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""cable"",""gym-equipment"",""pullover"",""intermediate-friendly""],""estimatedDuration"":300,""caloriesPerMinute"":6,""searchKeywords"":[""пуловер с кабелем"",""cable pullover"",""пуловер кабель"",""pullover cable"",""широчайшие"",""lats"",""грудь"",""chest"",""растяжение"",""stretch"",""блочный тренажер"",""cable machine"",""пуловер"",""upper chest"",""верхняя часть груди""]}"
dumbbell-fly-decline-bench,strength,Разведение гантелей на скамье с отрицательным наклоном,"Изолирующее упражнение для развития грудных мышц с акцентом на нижнюю часть груди. Выполняется на скамье с отрицательным наклоном -15-30 градусов с разведением гантелей по широкой дуге. Более сложное упражнение, требующее хорошего контроля и координации. Отлично дополняет горизонтальные и наклонные разведения для полного развития груди. Положение головой вниз требует особого контроля дыхания и надежной фиксации ног.",intermediate,strength-isolation,chest,weight-reps,gym,6,78,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""fly"",""decline"",""chest-lower""],""estimatedDuration"":300,""caloriesPerMinute"":6,""searchKeywords"":[""разведение гантелей decline"",""dumbbell fly decline"",""разведение отрицательный наклон"",""decline fly"",""низ груди"",""изоляция"",""наклонная скамья вниз"",""decline bench fly"",""lower chest fly"",""нижняя часть груди""]}"
weighted-push-ups,strength,Отжимания с весом,"Продвинутое упражнение с собственным весом и дополнительным отягощением для развития максимальной силы и массы грудных мышц, передних дельт и трицепсов. Выполняется в планке с опусканием и подъемом тела с использованием жилета-утяжелителя или пояса для отягощений. Дополнительный вес значительно увеличивает нагрузку на мышцы верхней части тела, делая упражнение более эффективным для развития силы и массы по сравнению с обычными отжиманиями. Требует хорошей базовой силы и правильной техники выполнения классических отжиманий. Отлично подходит для прогрессии от базовых отжиманий и развития функциональной силы верхней части тела.",intermediate,strength-compound,chest,weight-reps,both,3,82,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""compound"",""bodyweight"",""home-workout"",""intermediate-friendly"",""weighted""],""estimatedDuration"":300,""caloriesPerMinute"":9,""searchKeywords"":[""отжимания с весом"",""weighted push-ups"",""weighted pushups"",""отжимания с отягощением"",""push-ups with weight"",""отжимания с жилетом"",""weighted push-up"",""push-ups weighted"",""отягощенные отжимания""]}"
