id,exercise_id,muscle_type,muscle_name,activation_level,created_at
45,push-ups-on-handles,secondary,core-muscles,55,2024-01-15T10:00:00Z
46,dumbbell-fly-flat-bench,primary,pectoralis-major,90,2024-01-15T10:00:00Z
47,dumbbell-fly-flat-bench,secondary,anterior-deltoid,50,2024-01-15T10:00:00Z
48,dumbbell-fly-flat-bench,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
49,dumbbell-fly-flat-bench,stabilizer,biceps-brachii,30,2024-01-15T10:00:00Z
50,dumbbell-fly-flat-bench,stabilizer,core-muscles,35,2024-01-15T10:00:00Z
51,dumbbell-fly-floor,primary,pectoralis-major,85,2024-01-15T10:00:00Z
52,dumbbell-fly-floor,secondary,anterior-deltoid,45,2024-01-15T10:00:00Z
53,dumbbell-fly-floor,secondary,serratus-anterior,35,2024-01-15T10:00:00Z
54,dumbbell-fly-floor,stabilizer,biceps-brachii,30,2024-01-15T10:00:00Z
55,dumbbell-fly-floor,stabilizer,core-muscles,30,2024-01-15T10:00:00Z
56,dumbbell-fly-incline-bench,primary,upper-pectoralis,95,2024-01-15T10:00:00Z
57,dumbbell-fly-incline-bench,secondary,anterior-deltoid,60,2024-01-15T10:00:00Z
58,dumbbell-fly-incline-bench,secondary,serratus-anterior,45,2024-01-15T10:00:00Z
59,dumbbell-fly-incline-bench,stabilizer,biceps-brachii,35,2024-01-15T10:00:00Z
60,dumbbell-fly-incline-bench,stabilizer,core-muscles,40,2024-01-15T10:00:00Z
61,cable-fly-flat,primary,pectoralis-major,95,2024-01-15T10:00:00Z
62,cable-fly-flat,secondary,anterior-deltoid,55,2024-01-15T10:00:00Z
63,cable-fly-flat,secondary,serratus-anterior,45,2024-01-15T10:00:00Z
64,cable-fly-flat,stabilizer,biceps-brachii,35,2024-01-15T10:00:00Z
65,cable-fly-flat,stabilizer,core-muscles,40,2024-01-15T10:00:00Z
66,cable-fly-standing,primary,pectoralis-major,90,2024-01-15T10:00:00Z
67,cable-fly-standing,secondary,anterior-deltoid,50,2024-01-15T10:00:00Z
68,cable-fly-standing,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
69,cable-fly-standing,stabilizer,biceps-brachii,30,2024-01-15T10:00:00Z
70,cable-fly-standing,stabilizer,core-muscles,60,2024-01-15T10:00:00Z
71,cable-fly-standing,stabilizer,erector-spinae,45,2024-01-15T10:00:00Z
72,cable-fly-standing,stabilizer,glutes,35,2024-01-15T10:00:00Z
73,pec-deck-fly,primary,pectoralis-major,90,2024-01-15T10:00:00Z
74,pec-deck-fly,secondary,anterior-deltoid,45,2024-01-15T10:00:00Z
75,pec-deck-fly,secondary,serratus-anterior,35,2024-01-15T10:00:00Z
76,pec-deck-fly,stabilizer,biceps-brachii,30,2024-01-15T10:00:00Z
77,pec-deck-fly,stabilizer,core-muscles,25,2024-01-15T10:00:00Z
78,cable-crossover-low-to-high,primary,upper-pectoralis,95,2024-01-15T10:00:00Z
79,cable-crossover-low-to-high,secondary,anterior-deltoid,60,2024-01-15T10:00:00Z
80,cable-crossover-low-to-high,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
81,cable-crossover-low-to-high,stabilizer,biceps-brachii,35,2024-01-15T10:00:00Z
82,cable-crossover-low-to-high,stabilizer,core-muscles,55,2024-01-15T10:00:00Z
83,cable-crossover-low-to-high,stabilizer,erector-spinae,40,2024-01-15T10:00:00Z
84,cable-crossover-low-to-high,stabilizer,glutes,30,2024-01-15T10:00:00Z
85,dumbbell-pullover,primary,pectoralis-major,85,2024-01-15T10:00:00Z
86,dumbbell-pullover,primary,latissimus-dorsi,80,2024-01-15T10:00:00Z
87,dumbbell-pullover,secondary,anterior-deltoid,50,2024-01-15T10:00:00Z
88,dumbbell-pullover,secondary,serratus-anterior,45,2024-01-15T10:00:00Z
89,dumbbell-pullover,stabilizer,triceps-brachii,35,2024-01-15T10:00:00Z
90,dumbbell-pullover,stabilizer,core-muscles,40,2024-01-15T10:00:00Z
91,resistance-band-fly,primary,pectoralis-major,80,2024-01-15T10:00:00Z
92,resistance-band-fly,secondary,anterior-deltoid,45,2024-01-15T10:00:00Z
93,resistance-band-fly,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
94,resistance-band-fly,stabilizer,biceps-brachii,30,2024-01-15T10:00:00Z
95,resistance-band-fly,stabilizer,core-muscles,35,2024-01-15T10:00:00Z
96,incline-barbell-bench-press,primary,upper-pectoralis,88,2024-01-15T10:00:00Z
97,incline-barbell-bench-press,primary,anterior-deltoid,78,2024-01-15T10:00:00Z
98,incline-barbell-bench-press,primary,triceps-brachii,72,2024-01-15T10:00:00Z
99,incline-barbell-bench-press,secondary,serratus-anterior,48,2024-01-15T10:00:00Z
100,incline-barbell-bench-press,secondary,core-muscles,38,2024-01-15T10:00:00Z
101,decline-barbell-bench-press,primary,lower-pectoralis,90,2024-01-15T10:00:00Z
102,decline-barbell-bench-press,primary,anterior-deltoid,75,2024-01-15T10:00:00Z
103,decline-barbell-bench-press,primary,triceps-brachii,70,2024-01-15T10:00:00Z
104,decline-barbell-bench-press,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
105,decline-barbell-bench-press,secondary,core-muscles,45,2024-01-15T10:00:00Z
106,close-grip-push-ups,primary,triceps-brachii,90,2024-01-15T10:00:00Z
107,close-grip-push-ups,primary,pectoralis-major,75,2024-01-15T10:00:00Z
108,close-grip-push-ups,primary,anterior-deltoid,65,2024-01-15T10:00:00Z
109,close-grip-push-ups,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
110,close-grip-push-ups,secondary,core-muscles,55,2024-01-15T10:00:00Z
111,close-grip-push-ups,stabilizer,rhomboids,35,2024-01-15T10:00:00Z
112,close-grip-push-ups,stabilizer,erector-spinae,40,2024-01-15T10:00:00Z
113,wide-grip-push-ups,primary,pectoralis-major,90,2024-01-15T10:00:00Z
114,wide-grip-push-ups,primary,anterior-deltoid,70,2024-01-15T10:00:00Z
115,wide-grip-push-ups,primary,triceps-brachii,60,2024-01-15T10:00:00Z
116,wide-grip-push-ups,secondary,serratus-anterior,45,2024-01-15T10:00:00Z
117,wide-grip-push-ups,secondary,core-muscles,50,2024-01-15T10:00:00Z
118,wide-grip-push-ups,stabilizer,rhomboids,30,2024-01-15T10:00:00Z
119,wide-grip-push-ups,stabilizer,erector-spinae,35,2024-01-15T10:00:00Z
120,decline-push-ups,primary,pectoralis-major,85,2024-01-15T10:00:00Z
121,decline-push-ups,primary,anterior-deltoid,75,2024-01-15T10:00:00Z
122,decline-push-ups,primary,triceps-brachii,70,2024-01-15T10:00:00Z
123,decline-push-ups,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
124,decline-push-ups,secondary,core-muscles,55,2024-01-15T10:00:00Z
125,decline-push-ups,secondary,upper-pectorals,60,2024-01-15T10:00:00Z
126,incline-push-ups,primary,pectoralis-major,65,2024-01-15T10:00:00Z
127,incline-push-ups,primary,anterior-deltoid,55,2024-01-15T10:00:00Z
128,incline-push-ups,primary,triceps-brachii,55,2024-01-15T10:00:00Z
129,incline-push-ups,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
130,incline-push-ups,secondary,core-muscles,45,2024-01-15T10:00:00Z
131,plyometric-push-ups,primary,pectoralis-major,90,2024-01-15T10:00:00Z
132,plyometric-push-ups,primary,anterior-deltoid,80,2024-01-15T10:00:00Z
133,plyometric-push-ups,primary,triceps-brachii,85,2024-01-15T10:00:00Z
134,plyometric-push-ups,secondary,serratus-anterior,70,2024-01-15T10:00:00Z
135,plyometric-push-ups,secondary,core-muscles,75,2024-01-15T10:00:00Z
136,plyometric-push-ups,secondary,trapezius,60,2024-01-15T10:00:00Z
137,plyometric-push-ups,secondary,erector-spinae,65,2024-01-15T10:00:00Z
138,ring-push-ups,primary,pectoralis-major,90,2024-01-15T10:00:00Z
139,ring-push-ups,primary,anterior-deltoid,85,2024-01-15T10:00:00Z
140,ring-push-ups,primary,triceps-brachii,80,2024-01-15T10:00:00Z
141,ring-push-ups,secondary,serratus-anterior,75,2024-01-15T10:00:00Z
142,ring-push-ups,secondary,core-muscles,85,2024-01-15T10:00:00Z
143,ring-push-ups,secondary,rhomboids,70,2024-01-15T10:00:00Z
144,ring-push-ups,secondary,erector-spinae,65,2024-01-15T10:00:00Z
145,dumbbell-press-neutral-grip,primary,triceps-brachii,85,2024-01-15T10:00:00Z
146,dumbbell-press-neutral-grip,primary,pectoralis-major,75,2024-01-15T10:00:00Z
147,dumbbell-press-neutral-grip,primary,anterior-deltoid,65,2024-01-15T10:00:00Z
148,dumbbell-press-neutral-grip,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
149,dumbbell-press-neutral-grip,secondary,core-muscles,30,2024-01-15T10:00:00Z
150,dumbbell-press-neutral-grip,secondary,brachialis,25,2024-01-15T10:00:00Z
151,smith-machine-incline-bench-press,primary,upper-pectorals,85,2024-01-15T10:00:00Z
152,smith-machine-incline-bench-press,primary,anterior-deltoid,70,2024-01-15T10:00:00Z
153,smith-machine-incline-bench-press,primary,triceps-brachii,65,2024-01-15T10:00:00Z
154,smith-machine-incline-bench-press,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
155,smith-machine-incline-bench-press,secondary,core-muscles,30,2024-01-15T10:00:00Z
156,smith-machine-incline-bench-press,secondary,rhomboids,25,2024-01-15T10:00:00Z
157,smith-machine-incline-bench-press,secondary,trapezius,20,2024-01-15T10:00:00Z
158,smith-machine-decline-bench-press,primary,lower-pectorals,90,2024-01-15T10:00:00Z
159,smith-machine-decline-bench-press,primary,anterior-deltoid,75,2024-01-15T10:00:00Z
160,smith-machine-decline-bench-press,primary,triceps-brachii,70,2024-01-15T10:00:00Z
161,smith-machine-decline-bench-press,secondary,serratus-anterior,45,2024-01-15T10:00:00Z
162,smith-machine-decline-bench-press,secondary,core-muscles,40,2024-01-15T10:00:00Z
163,smith-machine-decline-bench-press,secondary,rhomboids,30,2024-01-15T10:00:00Z
164,smith-machine-decline-bench-press,secondary,trapezius,25,2024-01-15T10:00:00Z
165,cable-crossover-high-to-low,primary,lower-pectorals,95,2024-01-15T10:00:00Z
166,cable-crossover-high-to-low,primary,anterior-deltoid,65,2024-01-15T10:00:00Z
167,cable-crossover-high-to-low,secondary,triceps-brachii,55,2024-01-15T10:00:00Z
168,cable-crossover-high-to-low,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
169,cable-crossover-high-to-low,stabilizer,biceps-brachii,35,2024-01-15T10:00:00Z
170,cable-crossover-high-to-low,stabilizer,core-muscles,55,2024-01-15T10:00:00Z
171,cable-crossover-high-to-low,stabilizer,erector-spinae,40,2024-01-15T10:00:00Z
172,cable-crossover-high-to-low,stabilizer,glutes,30,2024-01-15T10:00:00Z
173,one-arm-push-up,primary,pectoralis-major,90,2024-01-15T10:00:00Z
174,one-arm-push-up,primary,anterior-deltoid,85,2024-01-15T10:00:00Z
175,one-arm-push-up,primary,triceps-brachii,85,2024-01-15T10:00:00Z
176,one-arm-push-up,secondary,serratus-anterior,75,2024-01-15T10:00:00Z
177,one-arm-push-up,secondary,obliques,80,2024-01-15T10:00:00Z
178,one-arm-push-up,secondary,core-muscles,80,2024-01-15T10:00:00Z
179,one-arm-push-up,stabilizer,erector-spinae,60,2024-01-15T10:00:00Z
180,one-arm-push-up,stabilizer,gluteus-maximus,65,2024-01-15T10:00:00Z
181,one-arm-push-up,stabilizer,transverse-abdominis,70,2024-01-15T10:00:00Z
182,one-arm-push-up,stabilizer,obliques,75,2024-01-15T10:00:00Z
183,hammer-chest-press-one-arm,primary,pectoralis-major,85,2024-01-15T10:00:00Z
184,hammer-chest-press-one-arm,primary,anterior-deltoid,75,2024-01-15T10:00:00Z
185,hammer-chest-press-one-arm,primary,triceps-brachii,70,2024-01-15T10:00:00Z
186,hammer-chest-press-one-arm,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
187,hammer-chest-press-one-arm,secondary,core-muscles,60,2024-01-15T10:00:00Z
188,hammer-chest-press-one-arm,secondary,obliques,55,2024-01-15T10:00:00Z
189,hammer-chest-press-one-arm,stabilizer,rhomboids,40,2024-01-15T10:00:00Z
190,cable-pullover,primary,latissimus-dorsi,85,2024-01-15T10:00:00Z
191,cable-pullover,primary,pectoralis-major,75,2024-01-15T10:00:00Z
192,cable-pullover,secondary,serratus-anterior,60,2024-01-15T10:00:00Z
193,cable-pullover,secondary,triceps-brachii,40,2024-01-15T10:00:00Z
194,cable-pullover,secondary,core-muscles,50,2024-01-15T10:00:00Z
195,cable-pullover,stabilizer,anterior-deltoid,30,2024-01-15T10:00:00Z
198,dumbbell-fly-decline-bench,primary,lower-pectorals,95,2024-01-15T10:00:00Z
199,dumbbell-fly-decline-bench,secondary,anterior-deltoid,55,2024-01-15T10:00:00Z
200,dumbbell-fly-decline-bench,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
201,dumbbell-fly-decline-bench,stabilizer,biceps-brachii,35,2024-01-15T10:00:00Z
202,dumbbell-fly-decline-bench,stabilizer,core-muscles,45,2024-01-15T10:00:00Z
203,weighted-push-ups,primary,pectoralis-major,92,2024-01-15T10:00:00Z
204,weighted-push-ups,primary,anterior-deltoid,78,2024-01-15T10:00:00Z
205,weighted-push-ups,primary,triceps-brachii,85,2024-01-15T10:00:00Z
206,weighted-push-ups,secondary,serratus-anterior,65,2024-01-15T10:00:00Z
207,weighted-push-ups,secondary,core-muscles,70,2024-01-15T10:00:00Z
208,weighted-push-ups,stabilizer,rhomboids,45,2024-01-15T10:00:00Z
209,weighted-push-ups,stabilizer,trapezius,40,2024-01-15T10:00:00Z
210,weighted-push-ups,stabilizer,erector-spinae,50,2024-01-15T10:00:00Z
211,dumbbell-bench-press-alternating-floor,primary,pectoralis-major,80,2024-01-15T10:00:00Z
212,dumbbell-bench-press-alternating-floor,primary,triceps-brachii,70,2024-01-15T10:00:00Z
213,dumbbell-bench-press-alternating-floor,primary,anterior-deltoid,65,2024-01-15T10:00:00Z
214,dumbbell-bench-press-alternating-floor,secondary,core-muscles,55,2024-01-15T10:00:00Z
215,dumbbell-bench-press-alternating-floor,secondary,obliques,50,2024-01-15T10:00:00Z
216,dumbbell-bench-press-alternating-floor,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
217,alternating-dumbbell-bench-press,primary,pectoralis-major,82,2024-01-15T10:00:00Z
218,alternating-dumbbell-bench-press,primary,triceps-brachii,72,2024-01-15T10:00:00Z
219,alternating-dumbbell-bench-press,primary,anterior-deltoid,68,2024-01-15T10:00:00Z
220,alternating-dumbbell-bench-press,secondary,core-muscles,60,2024-01-15T10:00:00Z
221,alternating-dumbbell-bench-press,secondary,obliques,55,2024-01-15T10:00:00Z
222,alternating-dumbbell-bench-press,secondary,serratus-anterior,45,2024-01-15T10:00:00Z
223,alternating-dumbbell-bench-press,secondary,transverse-abdominis,50,2024-01-15T10:00:00Z
224,incline-alternating-dumbbell-press,primary,upper-pectorals,80,2024-01-15T10:00:00Z
225,incline-alternating-dumbbell-press,primary,anterior-deltoid,70,2024-01-15T10:00:00Z
226,incline-alternating-dumbbell-press,primary,triceps-brachii,65,2024-01-15T10:00:00Z
227,incline-alternating-dumbbell-press,secondary,serratus-anterior,45,2024-01-15T10:00:00Z
228,incline-alternating-dumbbell-press,secondary,core-muscles,50,2024-01-15T10:00:00Z
229,incline-alternating-dumbbell-press,secondary,obliques,40,2024-01-15T10:00:00Z
230,svend-press,primary,pectoralis-major,88,2024-01-15T10:00:00Z
231,svend-press,primary,anterior-deltoid,45,2024-01-15T10:00:00Z
232,svend-press,primary,serratus-anterior,40,2024-01-15T10:00:00Z
233,svend-press,secondary,triceps-brachii,25,2024-01-15T10:00:00Z
234,svend-press,secondary,core-muscles,30,2024-01-15T10:00:00Z
235,svend-press,secondary,rhomboids,20,2024-01-15T10:00:00Z
236,svend-press,secondary,trapezius,15,2024-01-15T10:00:00Z
237,neutral-grip-barbell-bench-press,primary,triceps-brachii,85,2024-01-15T10:00:00Z
238,neutral-grip-barbell-bench-press,primary,pectoralis-major,80,2024-01-15T10:00:00Z
239,neutral-grip-barbell-bench-press,primary,anterior-deltoid,70,2024-01-15T10:00:00Z
240,neutral-grip-barbell-bench-press,secondary,serratus-anterior,55,2024-01-15T10:00:00Z
241,neutral-grip-barbell-bench-press,secondary,core-muscles,50,2024-01-15T10:00:00Z
242,neutral-grip-barbell-bench-press,secondary,rhomboids,35,2024-01-15T10:00:00Z
243,neutral-grip-barbell-bench-press,secondary,trapezius,30,2024-01-15T10:00:00Z
244,kettlebell-floor-press,primary,pectoralis-major,85,2024-01-15T10:00:00Z
245,kettlebell-floor-press,primary,anterior-deltoid,70,2024-01-15T10:00:00Z
246,kettlebell-floor-press,primary,triceps-brachii,75,2024-01-15T10:00:00Z
247,kettlebell-floor-press,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
248,kettlebell-floor-press,secondary,core-muscles,35,2024-01-15T10:00:00Z
249,kettlebell-floor-press,secondary,rhomboids,30,2024-01-15T10:00:00Z
250,kettlebell-floor-press,secondary,trapezius,25,2024-01-15T10:00:00Z
251,kettlebell-floor-press,secondary,forearms,45,2024-01-15T10:00:00Z
252,landmine-press,primary,pectoralis-major,80,2024-01-15T10:00:00Z
253,landmine-press,primary,anterior-deltoid,75,2024-01-15T10:00:00Z
254,landmine-press,primary,triceps-brachii,70,2024-01-15T10:00:00Z
255,landmine-press,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
256,landmine-press,secondary,core-muscles,60,2024-01-15T10:00:00Z
257,landmine-press,secondary,obliques,45,2024-01-15T10:00:00Z
258,landmine-press,stabilizer,erector-spinae,40,2024-01-15T10:00:00Z
259,landmine-press,stabilizer,transverse-abdominis,55,2024-01-15T10:00:00Z
260,landmine-press,stabilizer,gluteus-maximus,50,2024-01-15T10:00:00Z
261,landmine-press,stabilizer,quadriceps,45,2024-01-15T10:00:00Z
262,trx-push-ups,primary,pectoralis-major,85,2024-01-15T10:00:00Z
263,trx-push-ups,primary,anterior-deltoid,80,2024-01-15T10:00:00Z
264,trx-push-ups,primary,triceps-brachii,75,2024-01-15T10:00:00Z
265,trx-push-ups,secondary,serratus-anterior,70,2024-01-15T10:00:00Z
266,trx-push-ups,secondary,core-muscles,80,2024-01-15T10:00:00Z
267,trx-push-ups,secondary,rhomboids,65,2024-01-15T10:00:00Z
268,trx-push-ups,secondary,erector-spinae,60,2024-01-15T10:00:00Z
269,diamond-push-ups,primary,triceps-brachii,95,2024-01-15T10:00:00Z
270,diamond-push-ups,primary,pectoralis-major,75,2024-01-15T10:00:00Z
271,diamond-push-ups,primary,anterior-deltoid,65,2024-01-15T10:00:00Z
272,diamond-push-ups,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
273,diamond-push-ups,secondary,core-muscles,55,2024-01-15T10:00:00Z
274,diamond-push-ups,stabilizer,rhomboids,35,2024-01-15T10:00:00Z
275,diamond-push-ups,stabilizer,trapezius,30,2024-01-15T10:00:00Z
276,diamond-push-ups,stabilizer,erector-spinae,40,2024-01-15T10:00:00Z
277,diamond-push-ups,stabilizer,forearms,45,2024-01-15T10:00:00Z
278,push-ups-with-pause,primary,pectoralis-major,80,2024-01-15T10:00:00Z
279,push-ups-with-pause,primary,anterior-deltoid,70,2024-01-15T10:00:00Z
280,push-ups-with-pause,primary,triceps-brachii,75,2024-01-15T10:00:00Z
281,push-ups-with-pause,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
282,push-ups-with-pause,secondary,core-muscles,60,2024-01-15T10:00:00Z
283,push-ups-with-pause,secondary,back-extensors,45,2024-01-15T10:00:00Z
284,archer-push-ups,primary,pectoralis-major,90,2024-01-15T10:00:00Z
285,archer-push-ups,primary,anterior-deltoid,85,2024-01-15T10:00:00Z
286,archer-push-ups,primary,triceps-brachii,85,2024-01-15T10:00:00Z
287,archer-push-ups,secondary,serratus-anterior,60,2024-01-15T10:00:00Z
288,archer-push-ups,secondary,core-muscles,75,2024-01-15T10:00:00Z
289,archer-push-ups,secondary,obliques,70,2024-01-15T10:00:00Z
290,archer-push-ups,secondary,erector-spinae,55,2024-01-15T10:00:00Z
291,barbell-floor-press,primary,pectoralis-major,88,2025-11-08T10:00:00Z
292,barbell-floor-press,primary,triceps-brachii,85,2025-11-08T10:00:00Z
293,barbell-floor-press,primary,anterior-deltoid,70,2025-11-08T10:00:00Z
294,barbell-floor-press,secondary,serratus-anterior,55,2025-11-08T10:00:00Z
295,barbell-floor-press,secondary,core-muscles,48,2025-11-08T10:00:00Z
296,barbell-floor-press,secondary,rhomboids,40,2025-11-08T10:00:00Z
297,barbell-floor-press,stabilizer,latissimus-dorsi,38,2025-11-08T10:00:00Z
298,barbell-floor-press,stabilizer,posterior-deltoid,34,2025-11-08T10:00:00Z
299,barbell-floor-press,stabilizer,trapezius,35,2025-11-08T10:00:00Z
300,hammer-strength-chest-press,primary,pectoralis-major,88,2025-11-08T10:15:00Z
301,hammer-strength-chest-press,primary,anterior-deltoid,72,2025-11-08T10:15:00Z
302,hammer-strength-chest-press,primary,triceps-brachii,68,2025-11-08T10:15:00Z
303,hammer-strength-chest-press,secondary,serratus-anterior,45,2025-11-08T10:15:00Z
304,hammer-strength-chest-press,secondary,core-muscles,35,2025-11-08T10:15:00Z
305,hammer-strength-chest-press,stabilizer,rhomboids,32,2025-11-08T10:15:00Z
306,standing-cable-crossover-press,primary,pectoralis-major,88,2025-11-08T11:00:00Z
307,standing-cable-crossover-press,primary,anterior-deltoid,72,2025-11-08T11:00:00Z
308,standing-cable-crossover-press,primary,triceps-brachii,65,2025-11-08T11:00:00Z
309,standing-cable-crossover-press,secondary,serratus-anterior,50,2025-11-08T11:00:00Z
310,standing-cable-crossover-press,secondary,core-muscles,60,2025-11-08T11:00:00Z
311,standing-cable-crossover-press,stabilizer,erector-spinae,45,2025-11-08T11:00:00Z
312,standing-cable-crossover-press,stabilizer,gluteus-maximus,35,2025-11-08T11:00:00Z
313,standing-cable-crossover-press,stabilizer,obliques,42,2025-11-08T11:00:00Z
314,incline-hammer-strength-press,primary,upper-pectorals,90,2025-11-08T12:00:00Z
315,incline-hammer-strength-press,primary,anterior-deltoid,75,2025-11-08T12:00:00Z
316,incline-hammer-strength-press,primary,triceps-brachii,70,2025-11-08T12:00:00Z
317,incline-hammer-strength-press,secondary,serratus-anterior,55,2025-11-08T12:00:00Z
318,incline-hammer-strength-press,secondary,core-muscles,45,2025-11-08T12:00:00Z
319,incline-hammer-strength-press,secondary,rhomboids,40,2025-11-08T12:00:00Z
320,incline-hammer-strength-press,stabilizer,trapezius,35,2025-11-08T12:00:00Z
321,explosive-medicine-ball-press,primary,pectoralis-major,82,2025-11-08T13:00:00Z
322,explosive-medicine-ball-press,primary,anterior-deltoid,66,2025-11-08T13:00:00Z
323,explosive-medicine-ball-press,primary,triceps-brachii,64,2025-11-08T13:00:00Z
324,explosive-medicine-ball-press,secondary,serratus-anterior,50,2025-11-08T13:00:00Z
325,explosive-medicine-ball-press,secondary,core-muscles,58,2025-11-08T13:00:00Z
326,explosive-medicine-ball-press,secondary,obliques,45,2025-11-08T13:00:00Z
327,explosive-medicine-ball-press,stabilizer,gluteus-maximus,38,2025-11-08T13:00:00Z
328,explosive-medicine-ball-press,stabilizer,transverse-abdominis,42,2025-11-08T13:00:00Z
329,pull-ups-wide-grip,primary,latissimus-dorsi,90,2025-11-08T14:00:00Z
330,pull-ups-wide-grip,primary,rhomboids,75,2025-11-08T14:00:00Z
331,pull-ups-wide-grip,primary,middle-deltoid,65,2025-11-08T14:00:00Z
332,pull-ups-wide-grip,secondary,biceps-brachii,50,2025-11-08T14:00:00Z
333,pull-ups-wide-grip,secondary,trapezius,60,2025-11-08T14:00:00Z
334,pull-ups-wide-grip,secondary,core-muscles,40,2025-11-08T14:00:00Z
335,pull-ups-wide-grip,secondary,forearms,55,2025-11-08T14:00:00Z
336,pull-ups-medium-grip,primary,latissimus-dorsi,85,2025-11-08T14:05:00Z
337,pull-ups-medium-grip,primary,rhomboids,70,2025-11-08T14:05:00Z
338,pull-ups-medium-grip,primary,biceps-brachii,75,2025-11-08T14:05:00Z
