exercise_id,force,breathing_eccentric,breathing_concentric,breathing_description,programming,muscle_details,created_at,updated_at
dumbbell-fly-floor,push,Вдох,Выдох,"Вдох при разведении гантелей в стороны, выдох при сведении к центру. Ограниченная амплитуда позволяет лучше контролировать дыхание.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":12,""max"":18},""rest"":{""min"":75,""max"":100},""tempo"":""2-1-2-0"",""intensity"":{""min"":55,""max"":70}}","{""primary_muscles"":[""pectoralis-major""],""secondary_muscles"":[""anterior-deltoid"",""serratus-anterior""],""stabilizers"":[""biceps-brachii"",""core-muscles""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
"dumbbell-fly-incline-bench ",push,Вдох,Выдох,"Вдох при разведении гантелей в стороны, выдох при сведении к центру. Наклонное положение требует более контролируемого дыхания.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":10,""max"":15},""rest"":{""min"":90,""max"":120},""tempo"":""3-1-2-0"",""intensity"":{""min"":65,""max"":80}}","{""primary_muscles"":[""upper-pectoralis""],""secondary_muscles"":[""anterior-deltoid"",""serratus-anterior""],""stabilizers"":[""biceps-brachii"",""core-muscles""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
cable-fly-flat,push,Вдох,Выдох,"Вдох при разведении рук в стороны, выдох при сведении к центру. Постоянное натяжение кабелей требует контролируемого дыхания.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":10,""max"":15},""rest"":{""min"":90,""max"":120},""tempo"":""3-1-2-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""pectoralis-major""],""secondary_muscles"":[""anterior-deltoid"",""serratus-anterior""],""stabilizers"":[""biceps-brachii"",""core-muscles""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
cable-fly-standing,push,Вдох,Выдох,"Вдох при разведении рук в стороны, выдох при сведении к центру. Стоячее положение требует более контролируемого дыхания и стабилизации.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":10,""max"":15},""rest"":{""min"":90,""max"":120},""tempo"":""3-1-2-0"",""intensity"":{""min"":65,""max"":80}}","{""primary_muscles"":[""pectoralis-major""],""secondary_muscles"":[""anterior-deltoid"",""serratus-anterior""],""stabilizers"":[""biceps-brachii"",""core-muscles"",""erector-spinae"",""glutes""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
pec-deck-fly,push,Вдох,Выдох,"Вдох при разведении рук в стороны, выдох при сведении к центру. Фиксированная траектория позволяет лучше контролировать дыхание.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":12,""max"":18},""rest"":{""min"":75,""max"":100},""tempo"":""2-1-2-0"",""intensity"":{""min"":60,""max"":75}}","{""primary_muscles"":[""pectoralis-major""],""secondary_muscles"":[""anterior-deltoid"",""serratus-anterior""],""stabilizers"":[""biceps-brachii"",""core-muscles""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
cable-crossover-low-to-high,push,Вдох,Выдох,"Вдох при разведении рук в стороны, выдох при сведении к центру. Стоячее положение с кабелями снизу требует контролируемого дыхания и стабилизации.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":10,""max"":15},""rest"":{""min"":90,""max"":120},""tempo"":""3-1-2-0"",""intensity"":{""min"":65,""max"":80}}","{""primary_muscles"":[""upper-pectoralis""],""secondary_muscles"":[""anterior-deltoid"",""serratus-anterior""],""stabilizers"":[""biceps-brachii"",""core-muscles"",""erector-spinae"",""glutes""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
dumbbell-pullover,pull,Вдох,Выдох,"Вдох при опускании гантели за голову, выдох при подъеме к груди. Глубокое дыхание помогает расширению грудной клетки и растяжению мышц.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":12,""max"":18},""rest"":{""min"":90,""max"":120},""tempo"":""3-1-2-0"",""intensity"":{""min"":60,""max"":75}}","{""primary_muscles"":[""pectoralis-major"",""latissimus-dorsi""],""secondary_muscles"":[""anterior-deltoid"",""serratus-anterior""],""stabilizers"":[""triceps-brachii"",""core-muscles""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
resistance-band-fly,push,Вдох,Выдох,"Вдох при разведении рук в стороны, выдох при сведении к центру. Постоянное натяжение лент требует контролируемого дыхания и стабилизации.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":15,""max"":25},""rest"":{""min"":60,""max"":90},""tempo"":""2-1-2-0"",""intensity"":{""min"":50,""max"":70}}","{""primary_muscles"":[""pectoralis-major""],""secondary_muscles"":[""anterior-deltoid"",""serratus-anterior""],""stabilizers"":[""biceps-brachii"",""core-muscles""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
incline-barbell-bench-press,push,Вдох,Выдох,"Вдох при опускании штанги к верхней части груди, выдох при жиме вверх. Дышите глубоко и контролируемо, используйте технику Вальсальвы при максимальных весах. Наклонное положение требует более контролируемого дыхания для поддержания стабильности корпуса.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":6,""max"":10},""rest"":{""min"":150,""max"":240},""tempo"":""3-1-1-0"",""intensity"":{""min"":75,""max"":90}}","{""primary_muscles"":[""upper-pectorals"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""latissimus-dorsi""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
decline-barbell-bench-press,push,Вдох,Выдох,"Вдох при опускании штанги к нижней части груди, выдох при жиме вверх. Дышите глубоко и контролируемо, используйте технику Вальсальвы при максимальных весах. Положение головой вниз требует особого контроля дыхания для предотвращения головокружения и повышения давления.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":6,""max"":10},""rest"":{""min"":150,""max"":240},""tempo"":""3-1-1-0"",""intensity"":{""min"":75,""max"":90}}","{""primary_muscles"":[""lower-pectoralis"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""latissimus-dorsi""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
close-grip-push-ups,push,Вдох,Выдох,"Вдох при медленном опускании тела вниз, мощный выдох при отталкивании от пола. Дышите ритмично и контролируемо, не задерживайте дыхание. Узкий хват требует больше усилий от трицепсов, поэтому контролируемое дыхание помогает поддерживать правильную технику.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":8,""max"":20},""rest"":{""min"":90,""max"":150},""tempo"":""2-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""triceps-brachii"",""pectoralis-major"",""anterior-deltoid""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""erector-spinae""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
wide-grip-push-ups,push,Вдох,Выдох,"Вдох при медленном опускании тела вниз, мощный выдох при отталкивании от пола. Дышите ритмично и контролируемо, не задерживайте дыхание. Широкая постановка рук акцентирует нагрузку на грудные мышцы, но требует хорошей гибкости плеч, поэтому контролируемое дыхание помогает поддерживать правильную технику и избегать чрезмерного растяжения.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":10,""max"":25},""rest"":{""min"":60,""max"":120},""tempo"":""2-1-1-0"",""intensity"":{""min"":55,""max"":75}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""erector-spinae""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
decline-push-ups,push,Вдох,Выдох,"Вдох при медленном опускании тела вниз, мощный выдох при отталкивании от пола. Дышите ритмично и контролируемо, не задерживайте дыхание. Наклонное положение с ногами на возвышении увеличивает нагрузку на верхнюю часть груди и плечи, поэтому контролируемое дыхание критически важно для поддержания стабильности корпуса и правильной техники.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":8,""max"":15},""rest"":{""min"":60,""max"":120},""tempo"":""2-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles"",""upper-pectorals""],""stabilizers"":[""rhomboids"",""trapezius"",""erector-spinae""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
incline-push-ups,push,Вдох,Выдох,"Вдох при медленном опускании тела вниз, выдох при подъеме вверх. Дышите ритмично и контролируемо, не задерживайте дыхание. Упрощенная версия отжиманий требует меньше усилий благодаря углу наклона, поэтому дыхание должно быть комфортным и естественным, что позволяет начинающим лучше контролировать технику.","{""sets"":{""min"":2,""max"":4},""reps"":{""min"":10,""max"":20},""rest"":{""min"":60,""max"":90},""tempo"":""2-1-1-0"",""intensity"":{""min"":50,""max"":65}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""erector-spinae""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
plyometric-push-ups,push,Вдох,Выдох,"Глубокий вдох при опускании тела вниз, резкий мощный выдох при взрывном отталкивании и отрыве рук от пола. В плиометрических упражнениях дыхание играет критическую роль для генерации максимальной мощности. Выдох должен быть быстрым и резким во время взрывной фазы, что помогает стабилизировать корпус и создать дополнительную силу. Не задерживайте дыхание между повторениями - используйте короткие вдохи между каждым взрывным движением.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":5,""max"":10},""rest"":{""min"":120,""max"":180},""tempo"":""2-0-0-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles"",""trapezius"",""erector-spinae""],""stabilizers"":[""rhomboids"",""quadriceps"",""gluteus-maximus""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
ring-push-ups,push,Вдох,Выдох,"Глубокий вдох при медленном и контролируемом опускании тела вниз, мощный выдох при отталкивании от колец и возвращении в исходное положение. Контролируемое дыхание критически важно для поддержания стабильности колец и правильной техники. Нестабильность колец требует более осознанного контроля дыхания по сравнению с обычными отжиманиями. Выдох при подъеме помогает стабилизировать корпус и создать дополнительную силу для контроля колец.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":5,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":75,""max"":90}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""erector-spinae"",""trapezius""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
dumbbell-press-neutral-grip,push,Вдох,Выдох,"Вдох при медленном опускании гантелей к груди, мощный выдох при жиме вверх. Дышите глубоко и контролируемо, не задерживайте дыхание. Нейтральный хват обеспечивает более естественное положение плеч, поэтому контролируемое дыхание помогает поддерживать правильную технику и стабильность корпуса.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":8,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""triceps-brachii"",""pectoralis-major"",""anterior-deltoid""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""brachialis""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
smith-machine-incline-bench-press,push,Вдох,Выдох,"Вдох при опускании штанги к верхней части груди, выдох при жиме вверх. Дышите глубоко и контролируемо, не задерживайте дыхание. Наклонное положение требует более контролируемого дыхания для поддержания стабильности корпуса.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":6,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""upper-pectorals"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""latissimus-dorsi""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
smith-machine-decline-bench-press,push,Вдох,Выдох,"Вдох при опускании штанги к нижней части груди, выдох при жиме вверх. Дышите глубоко и контролируемо, не задерживайте дыхание. Положение головой вниз требует особого контроля дыхания для предотвращения головокружения и повышения давления. Фиксированная траектория машины Смита обеспечивает безопасность без страховщика.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":6,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""lower-pectorals"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""latissimus-dorsi""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
cable-crossover-high-to-low,push,Вдох,Выдох,"Вдох при разведении рук в стороны и вверх, выдох при сведении рук вниз и внутрь к центру. Стоячее положение с кабелями сверху требует контролируемого дыхания и стабилизации корпуса. Контролируемое дыхание критически важно для поддержания стабильности и правильной техники выполнения упражнения.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":10,""max"":15},""rest"":{""min"":90,""max"":120},""tempo"":""3-1-2-0"",""intensity"":{""min"":65,""max"":80}}","{""primary_muscles"":[""lower-pectorals"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""biceps-brachii"",""erector-spinae"",""glutes""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
one-arm-push-up,push,Вдох,Выдох,"Глубокий вдох при медленном контролируемом опускании тела вниз, мощный выдох при отталкивании от пола и подъеме вверх. Контролируемое дыхание критически важно для поддержания стабильности корпуса и предотвращения ротации. Односторонняя работа требует максимального напряжения кора, поэтому правильное дыхание помогает создавать внутрибрюшное давление для стабилизации позвоночника. Не задерживайте дыхание - это может привести к потере контроля и травме.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":3,""max"":8},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":80,""max"":95}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles"",""obliques""],""stabilizers"":[""erector-spinae"",""gluteus-maximus"",""transverse-abdominis"",""obliques""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
hammer-chest-press-one-arm,push,Вдох,Выдох,"Глубокий вдох при медленном контролируемом опускании рукоятки к груди, мощный выдох при жиме рукоятки вперед. Контролируемое дыхание критически важно для поддержания стабильности корпуса и предотвращения ротации при односторонней работе. Правильное дыхание помогает создавать внутрибрюшное давление для стабилизации позвоночника и поддержания правильной техники. Не задерживайте дыхание - это может привести к потере контроля и компенсациям.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":6,""max"":12},""rest"":{""min"":90,""max"":120},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles"",""obliques""],""stabilizers"":[""rhomboids"",""erector-spinae"",""transverse-abdominis""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
cable-pullover,pull,Вдох,Выдох,"Вдох при медленном опускании рук за голову, выдох при подъеме рукоятки к груди. Глубокое дыхание помогает расширению грудной клетки и растяжению широчайших и грудных мышц. Постоянное натяжение кабеля требует контролируемого дыхания для поддержания правильной техники и равномерной нагрузки. Не задерживайте дыхание в растянутой позиции - это может повысить давление.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":10,""max"":15},""rest"":{""min"":90,""max"":120},""tempo"":""3-1-2-0"",""intensity"":{""min"":65,""max"":80}}","{""primary_muscles"":[""latissimus-dorsi"",""pectoralis-major""],""secondary_muscles"":[""serratus-anterior"",""triceps-brachii"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""anterior-deltoid""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
dumbbell-fly-decline-bench,push,Вдох,Выдох,"Вдох при разведении гантелей в стороны, выдох при сведении к центру. Положение головой вниз требует особого контроля дыхания для предотвращения головокружения и повышения давления. Дышите глубоко и контролируемо, не задерживайте дыхание в растянутой позиции. Контролируемое дыхание критически важно для поддержания стабильности и правильной техники выполнения упражнения.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":10,""max"":15},""rest"":{""min"":90,""max"":120},""tempo"":""3-1-2-0"",""intensity"":{""min"":65,""max"":80}}","{""primary_muscles"":[""lower-pectorals""],""secondary_muscles"":[""anterior-deltoid"",""serratus-anterior""],""stabilizers"":[""biceps-brachii"",""core-muscles""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
weighted-push-ups,push,Вдох,Выдох,"Глубокий вдох при медленном контролируемом опускании тела вниз, мощный выдох при отталкивании от пола и подъеме вверх. Контролируемое дыхание критически важно под дополнительным весом - дополнительное отягощение усложняет дыхание и требует более осознанного контроля. Не задерживайте дыхание - это может привести к повышению давления и потере контроля. Дышите ритмично и глубоко на протяжении всего движения, синхронизируя дыхание с фазой движения для максимальной эффективности и безопасности.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":5,""max"":15},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""erector-spinae""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
dumbbell-bench-press-alternating-floor,push,Вдох,Выдох,"Вдох при медленном контролируемом опускании одной гантели к груди, мощный выдох при жиме вверх. Поддерживайте постоянное дыхание для стабилизации кора на протяжении всего движения. Контролируемое дыхание критически важно для предотвращения ротации корпуса и поддержания правильной техники. Не задерживайте дыхание между повторениями - это может привести к потере контроля и травме. Дышите ритмично, синхронизируя дыхание с движениями каждой руки.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":8,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":65,""max"":80}}","{""primary_muscles"":[""pectoralis-major"",""triceps-brachii"",""anterior-deltoid""],""secondary_muscles"":[""core-muscles"",""obliques"",""serratus-anterior""],""stabilizers"":[""erector-spinae"",""transverse-abdominis"",""gluteus-maximus""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
alternating-dumbbell-bench-press,push,Вдох,Выдох,"Вдох при медленном контролируемом опускании одной гантели к груди, мощный выдох при жиме вверх. Увеличенный диапазон движения на скамье требует более осознанного контроля дыхания для поддержания стабильности корпуса на протяжении всей амплитуды движения. Контролируемое дыхание критически важно для предотвращения ротации позвоночника и поддержания правильной техники выполнения. Не задерживайте дыхание между повторениями - это может привести к потере контроля и травме. Дышите ритмично, синхронизируя дыхание с движениями каждой руки, создавая внутрибрюшное давление для дополнительной стабилизации кора.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":8,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""pectoralis-major"",""triceps-brachii"",""anterior-deltoid""],""secondary_muscles"":[""core-muscles"",""obliques"",""serratus-anterior""],""stabilizers"":[""erector-spinae"",""transverse-abdominis"",""gluteus-maximus"",""rhomboids""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
incline-alternating-dumbbell-press,push,Вдох,Выдох,"Вдох при медленном контролируемом опускании одной гантели к верхней части груди, мощный выдох при жиме вверх. Наклонное положение требует более осознанного контроля дыхания для поддержания стабильности корпуса на протяжении всей амплитуды движения. Контролируемое дыхание критически важно для предотвращения ротации позвоночника и поддержания правильной техники выполнения. Не задерживайте дыхание между повторениями - это может привести к потере контроля и травме. Дышите ритмично, синхронизируя дыхание с движениями каждой руки, создавая внутрибрюшное давление для дополнительной стабилизации кора.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":8,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""upper-pectorals"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""core-muscles"",""obliques"",""serratus-anterior""],""stabilizers"":[""erector-spinae"",""transverse-abdominis"",""gluteus-maximus"",""rhomboids""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
svend-press,push,Вдох,Выдох,"Вдох при отведении пластины к груди, мощный выдох при выталкивании вперед. Дышите глубоко и контролируемо, синхронизируя дыхание с движением. Контролируемое дыхание критически важно для поддержания стабильности корпуса и правильной техники выполнения. Не задерживайте дыхание во время удержания пластины - это может повысить давление и привести к потере контроля. Дышите ритмично, создавая внутрибрюшное давление для дополнительной стабилизации кора во время изометрического напряжения.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":12,""max"":20},""rest"":{""min"":60,""max"":90},""tempo"":""2-1-2-0"",""intensity"":{""min"":50,""max"":70}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""serratus-anterior""],""secondary_muscles"":[""triceps-brachii"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
