id,from_exercise_id,to_exercise_id,name,relationship,reason,effectiveness_rating,notes,created_at
ref-incline-dumbbell-press-01-reg,incline-dumbbell-press,incline-push-ups,Отжимания с наклоном - руки на возвышении,regression,difficulty-adjustment,80,"Снижаем вес за счёт опоры руками на возвышении: пользователь может отработать траекторию наклонного жима без гантелей перед возвратом к свободным весам.",2025-11-09T00:00:00Z
ref-incline-push-ups-02-prog,incline-push-ups,incline-dumbbell-press,Жим гантелей на наклонной скамье,progression,skill-development,82,"Следующий этап после отжиманий с наклоном: добавляем свободные веса и увеличиваем нагрузку на верх груди.",2025-11-09T00:00:00Z
ref-incline-push-ups-01-reg,incline-push-ups,svend-press,Жим Свенда,regression,difficulty-adjustment,65,"Сконцентрируйся на изометрическом сжатии груди без полной нагрузки тела, если удержание планки пока тяжёлое",2025-11-11T00:00:00Z
ref-incline-push-ups-04-alt,incline-push-ups,machine-chest-press-plate-loaded,Жим от груди в рычажном тренажере,alternative,equipment-availability,74,"Тренажёр с фиксированной траекторией позволяет дозировать сопротивление и развивать грудь, когда нужен стабильный упор",2025-11-11T00:00:00Z
ref-incline-dumbbell-press-03-alt,incline-dumbbell-press,smith-machine-incline-bench-press,Жим в машине Смита на наклонной скамье,alternative,injury-management,83,"Если требуется снизить нагрузку на плечевые суставы или тренироваться без страховщика, машина Смита даёт тот же акцент на верх груди с поддержкой траектории.",2025-11-09T00:00:00Z
ref-smith-machine-incline-bench-press-02-alt,smith-machine-incline-bench-press,incline-dumbbell-press,Жим гантелей на наклонной скамье,alternative,equipment-availability,81,"Когда машина недоступна или нужно увеличить амплитуду, переход к гантелям сохраняет наклон и нагрузку на верх груди.",2025-11-09T00:00:00Z
ref-dips-chest-focus-01-reg,dips-chest-focus,push-ups,Отжимания от пола,regression,difficulty-adjustment,80,"Переносит паттерн жима в более стабильную плоскость, упрощая контроль корпуса и разгружая плечи перед возвратом к брусьям.",2025-11-09T00:00:00Z
ref-push-ups-04-prog,push-ups,dips-chest-focus,Отжимания на брусьях с акцентом на грудь,progression,skill-development,84,"Следующий шаг после классических отжиманий: глубокая амплитуда на брусьях и больший акцент на нижнюю часть груди.",2025-11-09T00:00:00Z
ref-dips-chest-focus-02-prog,dips-chest-focus,ring-push-ups,Отжимания на кольцах,progression,skill-development,88,"Добавляет нестабильную опору и требует высокого контроля лопаток для силового роста и координации.",2025-11-09T00:00:00Z
ref-ring-push-ups-02-reg,ring-push-ups,dips-chest-focus,Отжимания на брусьях с акцентом на грудь,regression,difficulty-adjustment,82,"Возврат к брусьям снижает нестабильность, но сохраняет глубокую амплитуду и акцент на грудь.",2025-11-09T00:00:00Z
ref-dips-chest-focus-03-alt,dips-chest-focus,machine-chest-press-plate-loaded,Жим от груди в рычажном тренажере,alternative,equipment-availability,78,"Позволяет сохранить нагрузку на грудные и трицепсы при работе в тренажёре без риска сорваться с брусьев.",2025-11-09T00:00:00Z
ref-machine-chest-press-plate-loaded-04-alt,machine-chest-press-plate-loaded,dips-chest-focus,Отжимания на брусьях с акцентом на грудь,alternative,equipment-availability,79,"Для тех, кто готов вернуться к собственному весу: брусья требуют стабилизации корпуса и позволяют работать без тренажёра.",2025-11-09T00:00:00Z
ref-smith-machine-bench-press-05-reg,smith-machine-bench-press,machine-chest-press-plate-loaded,Жим от груди в рычажном тренажере,regression,difficulty-adjustment,83,"Фиксированная дуга рычагов снимает нагрузку со стабилизаторов плеч и позволяет сосредоточиться на технике жима перед возвращением к машине Смита.",2025-11-10T00:00:00Z
ref-machine-chest-press-plate-loaded-05-prog,machine-chest-press-plate-loaded,smith-machine-bench-press,Жим лежа в машине Смита,progression,skill-development,81,"После стабилизации техники в рычажном тренажёре машина Смита добавляет вертикальную траекторию и больше ответственности за контроль веса без страховщика.",2025-11-10T00:00:00Z
ref-smith-machine-bench-press-06-prog,smith-machine-bench-press,barbell-bench-press,Жим штанги лежа на горизонтальной скамье,progression,skill-development,87,"Свободная штанга требует контроля траектории и даёт потенциал для более тяжёлых рабочих весов, когда техника в машине Смита устойчиво отработана.",2025-11-10T00:00:00Z
ref-barbell-bench-press-07-reg,barbell-bench-press,smith-machine-bench-press,Жим лежа в машине Смита,regression,injury-management,84,"Фиксированная траектория снижает стресс на плечи и позволяет сохранить объём работы, если техника со свободной штангой временно страдает или нужен контроль веса.",2025-11-10T00:00:00Z
ref-smith-machine-bench-press-07-alt,smith-machine-bench-press,hammer-strength-chest-press,Жим от груди в тренажёре Хаммер (двусторонний),alternative,equipment-availability,79,"Если машина Смита занята, тренажёр Hammer позволяет безопасно тренировать грудь с похожей траекторией и поддержкой спины, но даёт независимую работу рук.",2025-11-10T00:00:00Z
ref-hammer-strength-chest-press-01-alt,hammer-strength-chest-press,smith-machine-bench-press,Жим лежа в машине Смита,alternative,preference,78,"Машина Смита обеспечивает вертикальную траекторию и привычную позицию на скамье, что полезно, если тренирующийся хочет ближе имитировать классический жим, сохраняя безопасность.",2025-11-10T00:00:00Z
ref-decline-dumbbell-press-01-reg,decline-dumbbell-press,machine-chest-press-plate-loaded,Жим от груди в рычажном тренажере,regression,difficulty-adjustment,82,"Фиксированная траектория и независимые рычаги позволяют безопасно проработать грудь перед возвратом к свободным весам",2025-11-10T00:00:00Z
ref-machine-chest-press-plate-loaded-06-prog,machine-chest-press-plate-loaded,decline-dumbbell-press,Жим гантелей на скамье с отрицательным наклоном,progression,skill-development,83,"Следующий шаг после тренажёра: свободные гантели требуют синхронной работы рук и контроля нижней части груди",2025-11-10T00:00:00Z
ref-decline-dumbbell-press-03-alt,decline-dumbbell-press,smith-machine-decline-bench-press,Жим в машине Смита на скамье с отрицательным наклоном,alternative,equipment-availability,80,"Подходит, когда нужны стойки с фиксацией: сохраняет акцент на нижней груди при меньших требованиях к стабилизации",2025-11-10T00:00:00Z
ref-smith-machine-decline-bench-press-01-alt,smith-machine-decline-bench-press,decline-dumbbell-press,Жим гантелей на скамье с отрицательным наклоном,alternative,preference,79,"Для тех, кто хочет больше свободы траектории и независимую работу рук, сохраняя акцент на нижнюю часть груди",2025-11-10T00:00:00Z
ref-push-ups-on-handles-01-reg,push-ups-on-handles,push-ups,Отжимания от пола,regression,difficulty-adjustment,80,"Убираем дополнительный диапазон за счёт опоры на пол и снижаем нагрузку на запястья — шаг назад, если техника на упорах пока нестабильна",2025-11-10T00:00:00Z
ref-push-ups-05-prog,push-ups,push-ups-on-handles,Отжимания на упорах,progression,skill-development,83,"Добавление упоров увеличивает амплитуду и требует большего контроля корпуса, что помогает прогрессировать после классических отжиманий",2025-11-10T00:00:00Z
ref-push-ups-on-handles-02-prog,push-ups-on-handles,weighted-push-ups,Отжимания с весом,progression,skill-development,86,"Добавление внешнего отягощения увеличивает силовую нагрузку и закрепляет контроль корпуса, достигнутый на упорах",2025-11-10T00:00:00Z
ref-weighted-push-ups-01-reg,weighted-push-ups,push-ups-on-handles,Отжимания на упорах,regression,difficulty-adjustment,84,"Переход на упоры сохраняет повышенный диапазон, но снимает дополнительный вес, позволяя восстановить технику",2025-11-10T00:00:00Z
ref-push-ups-on-handles-03-alt,push-ups-on-handles,machine-chest-press-plate-loaded,Жим от груди в рычажном тренажере,alternative,equipment-availability,78,"Для тренировок в зале можно переключиться на тренажёр с похожей траекторией и нагрузкой на грудь без упоров",2025-11-10T00:00:00Z
ref-push-ups-on-handles-04-alt,push-ups-on-handles,decline-push-ups,Отжимания с наклоном - ноги на возвышении,alternative,equipment-availability,79,"Если нет упоров, но нужна схожая нагрузка на верх груди, используй возвышение для ног и контролируй корпус",2025-11-11T00:00:00Z
ref-machine-chest-press-plate-loaded-07-alt,machine-chest-press-plate-loaded,push-ups-on-handles,Отжимания на упорах,alternative,preference,77,"Если хочется сохранить работу над грудью с большей амплитудой и без тренажёра, упоры дают близкий паттерн с собственным весом",2025-11-10T00:00:00Z
ref-machine-chest-press-plate-loaded-09-alt,machine-chest-press-plate-loaded,incline-push-ups,Отжимания с наклоном - руки на возвышении,alternative,equipment-availability,73,"Для домашних условий без тренажёра можно перейти на наклонные отжимания и сохранить акцент на груди",2025-11-11T00:00:00Z
ref-dumbbell-fly-flat-bench-01-reg,dumbbell-fly-flat-bench,dumbbell-fly-floor,Разведение гантелей лежа на полу,regression,injury-management,82,"Ограниченный полом диапазон защищает плечи и упрощает контроль траектории перед возвращением на скамью",2025-11-10T00:00:00Z
ref-dumbbell-fly-floor-01-prog,dumbbell-fly-floor,dumbbell-fly-flat-bench,Разведение гантелей лежа на горизонтальной скамье,progression,skill-development,80,"После освоения безопасного варианта на полу можно перейти на скамью для большего растяжения и мышечного отклика",2025-11-10T00:00:00Z
ref-dumbbell-fly-flat-bench-02-prog,dumbbell-fly-flat-bench,dumbbell-fly-incline-bench,Разведение гантелей на наклонной скамье,progression,skill-development,85,"Наклон увеличивает нагрузку на верх груди и требует большего контроля плечевых стабилизаторов",2025-11-10T00:00:00Z
ref-dumbbell-fly-incline-bench-01-reg,dumbbell-fly-incline-bench,dumbbell-fly-flat-bench,Разведение гантелей лежа на горизонтальной скамье,regression,difficulty-adjustment,83,"Возврат на горизонтальную скамью снижает угловую нагрузку и помогает восстановить контроль, если наклон пока слишком сложен",2025-11-10T00:00:00Z
ref-dumbbell-fly-flat-bench-03-alt,dumbbell-fly-flat-bench,cable-fly-flat,Сведение рук в кроссовере лежа,alternative,equipment-availability,84,"Кроссовер даёт постоянное натяжение и похожую амплитуду, если в зале предпочтительнее блочные тренажёры",2025-11-10T00:00:00Z
ref-cable-fly-flat-01-alt,cable-fly-flat,dumbbell-fly-flat-bench,Разведение гантелей лежа на горизонтальной скамье,alternative,preference,83,"Гантели обеспечивают свободную траекторию и акцент на стабилизацию плеч, когда хочется разнообразить тренировку без смены уровня сложности",2025-11-10T00:00:00Z
ref-dumbbell-fly-floor-02-reg,dumbbell-fly-floor,resistance-band-fly,Разведение с резиновыми лентами,regression,injury-management,75,"Ленты создают мягкое сопротивление и позволяют регулировать амплитуду, если плечи реагируют на гантели",
ref-resistance-band-fly-01-prog,resistance-band-fly,dumbbell-fly-floor,Разведение гантелей лежа на полу,progression,skill-development,78,"Добавление гантелей увеличивает сопротивление и укрепляет контроль плеч после работы с лентами",
ref-dumbbell-fly-floor-03-alt,dumbbell-fly-floor,pec-deck-fly,Разведение в тренажере Пек-дек,alternative,equipment-availability,81,"Пек-дек обеспечивает поддержку спины и стабильную траекторию, сохраняя акцент на грудь",
ref-pec-deck-fly-02-alt,pec-deck-fly,dumbbell-fly-floor,Разведение гантелей лежа на полу,alternative,preference,80,"Гантели на полу дают свободу траектории и доступны вне зала при схожем уровне сложности",
ref-dumbbell-fly-floor-04-prog,dumbbell-fly-floor,dumbbell-fly-incline-bench,Разведение гантелей на наклонной скамье,progression,skill-development,84,"Наклонная скамья увеличивает диапазон и акцент на верхнюю грудь, требует устойчивой лопаточной фиксации",
ref-dumbbell-fly-incline-bench-02-reg,dumbbell-fly-incline-bench,dumbbell-fly-floor,Разведение гантелей лежа на полу,regression,difficulty-adjustment,82,"Пол помогает контролировать нижнюю точку и даёт паузу в прогрессии, если наклонная скамья перегружает плечи",
ref-dumbbell-fly-incline-bench-03-prog,dumbbell-fly-incline-bench,cable-crossover-low-to-high,Кроссовер снизу вверх,progression,skill-development,86,"Стоячий кроссовер с нижнего блока требует активной работы корпуса и удержания верхней груди под постоянным напряжением",
ref-cable-crossover-low-to-high-01-reg,cable-crossover-low-to-high,dumbbell-fly-incline-bench,Разведение гантелей на наклонной скамье,regression,difficulty-adjustment,84,"Возврат к наклонным разведениям помогает восстановить технику в стабильном положении на скамье",
ref-dumbbell-fly-incline-bench-04-alt,dumbbell-fly-incline-bench,cable-fly-standing,Сведение рук в кроссовере стоя,alternative,equipment-availability,83,"Работа в кроссовере стоя даёт непрерывное натяжение и подходит, когда нет наклонной скамьи",
ref-cable-fly-standing-01-alt,cable-fly-standing,dumbbell-fly-incline-bench,Разведение гантелей на наклонной скамье,alternative,preference,82,"Когда требуется больше изоляции и контроля, наклонная скамья убирает нестабильность стоячего варианта",
ref-cable-fly-flat-02-reg,cable-fly-flat,pec-deck-fly,Разведение в тренажере Пек-дек,regression,difficulty-adjustment,79,"Pec Deck фиксирует корпус и рычаги, снижая требования к стабилизаторам плеч перед возвращением к кроссоверу лежа.",2025-11-11T00:00:00Z
ref-pec-deck-fly-03-prog,pec-deck-fly,cable-fly-flat,Сведение рук в кроссовере лежа,progression,skill-development,81,"Переход к кроссоверу добавляет свободу траектории и требует активной стабилизации плеч.",2025-11-11T00:00:00Z
ref-cable-fly-flat-02-prog,cable-fly-flat,cable-fly-standing,Сведение рук в кроссовере стоя,progression,skill-development,86,"Стоячий кроссовер добавляет требования к стабилизации корпуса и контролю плечевого пояса.",2025-11-11T00:00:00Z
ref-cable-fly-standing-02-reg,cable-fly-standing,cable-fly-flat,Сведение рук в кроссовере лежа,regression,difficulty-adjustment,83,"Лежачий вариант поддерживает тело и позволяет сосредоточиться на сокращении груди без потери баланса.",2025-11-11T00:00:00Z
ref-cable-fly-flat-03-alt,cable-fly-flat,resistance-band-fly,Разведение с резиновыми лентами,alternative,equipment-availability,74,"Ленты повторяют сведение рук и подходят для домашних условий при отсутствии кроссовера.",2025-11-11T00:00:00Z
ref-resistance-band-fly-02-alt,resistance-band-fly,cable-fly-flat,Сведение рук в кроссовере лежа,alternative,preference,76,"Кроссовер в зале обеспечивает более тяжёлое сопротивление и мягкую кривую нагрузки при том же паттерне.",2025-11-11T00:00:00Z
ref-cable-fly-standing-03-prog,cable-fly-standing,ring-push-ups,Отжимания на кольцах,progression,skill-development,88,"Кольца создают нестабильную опору, требуя высокого контроля корпуса и плеч при сохранении акцента на грудь.",2025-11-11T00:00:00Z
ref-ring-push-ups-03-reg,ring-push-ups,cable-fly-standing,Сведение рук в кроссовере стоя,regression,difficulty-adjustment,84,"Возврат к кроссоверу стоя снижает нестабильность, сохраняя акцент на приводе рук и контроле грудных мышц.",2025-11-11T00:00:00Z
ref-cable-fly-standing-04-alt,cable-fly-standing,cable-crossover-low-to-high,Кроссовер снизу вверх,alternative,preference,80,"Вариант с нижними блоками сохраняет стоячий формат и постоянное натяжение, меняя угол под цели пользователя.",2025-11-11T00:00:00Z
ref-cable-crossover-low-to-high-02-alt,cable-crossover-low-to-high,cable-fly-standing,Сведение рук в кроссовере стоя,alternative,preference,81,"Стоячий кроссовер в классической плоскости возвращает акцент на середину груди при тех же требованиях к стабилизации.",2025-11-11T00:00:00Z
ref-pec-deck-fly-04-reg,pec-deck-fly,resistance-band-fly,Разведение с резиновыми лентами,regression,difficulty-adjustment,76,"Эспандер позволяет дозировать сопротивление и отработать траекторию без жёсткой фиксации тренажёра — хороший шаг назад при дискомфорте в плечах.",2025-11-11T00:00:00Z
ref-resistance-band-fly-03-prog,resistance-band-fly,pec-deck-fly,Разведение в тренажере Пек-дек,progression,skill-development,79,"Переход к Pec Deck добавляет фиксированную траекторию и больший вес — следующий шаг после работы с лентами.",2025-11-11T00:00:00Z
ref-cable-crossover-low-to-high-03-prog,cable-crossover-low-to-high,ring-push-ups,Отжимания на кольцах,progression,skill-development,87,"Кольца требуют сильного кора и стабилизации плеч, сохраняя акцент на приведении рук и усиливая нагрузку на верх груди.",2025-11-11T00:00:00Z
ref-ring-push-ups-04-reg,ring-push-ups,cable-crossover-low-to-high,Кроссовер снизу вверх,regression,difficulty-adjustment,85,"Возврат к кроссоверу со снизу-вверх снижает нестабильность, сохраняя высокую нагрузку на верхнюю грудь при контролируемой траектории.",2025-11-11T00:00:00Z
ref-dumbbell-pullover-01-reg,dumbbell-pullover,dumbbell-fly-floor,Разведение гантелей лежа на полу,regression,injury-management,74,"Пол ограничивает разгибание плеч и даёт опору спине, поэтому проще контролировать траекторию при сохранении растяжения груди.",2025-11-11T00:00:00Z
ref-dumbbell-fly-floor-05-prog,dumbbell-fly-floor,dumbbell-pullover,Пуловер с гантелью,progression,skill-development,77,"После стабилизации движения на полу можно перейти на скамью и увеличить диапазон растяжения груди.",2025-11-11T00:00:00Z
ref-dumbbell-pullover-03-prog,dumbbell-pullover,dumbbell-fly-incline-bench,Разведение гантелей на наклонной скамье,progression,skill-development,82,"Наклон усиливает нагрузку на верх груди и требует большего контроля лопаток при сохранении изоляции.",2025-11-11T00:00:00Z
ref-dumbbell-fly-incline-bench-05-reg,dumbbell-fly-incline-bench,dumbbell-pullover,Пуловер с гантелью,regression,difficulty-adjustment,80,"Возврат к пуловеру снижает угол наклона и упрощает удержание контроля плеч, сохраняя растяжение груди.",2025-11-11T00:00:00Z
ref-dumbbell-pullover-02-alt,dumbbell-pullover,dumbbell-fly-flat-bench,Разведение гантелей лежа на горизонтальной скамье,alternative,preference,78,"Флай на скамье даёт похожее растяжение грудных мышц, но по дуге в горизонтальной плоскости — полезно для разнообразия.",2025-11-11T00:00:00Z
ref-dumbbell-fly-flat-bench-04-alt,dumbbell-fly-flat-bench,dumbbell-pullover,Пуловер с гантелью,alternative,preference,77,"Пуловер предлагает альтернативный вектор нагрузки на грудь и широчайшие, сохраняя работу с гантелью и скамьей.",2025-11-11T00:00:00Z
ref-resistance-band-fly-04-reg,resistance-band-fly,svend-press,Жим Свенда,regression,injury-management,68,"Жим Свенда позволяет дозировать усилие и держать плечи в безопасном диапазоне, если ленты пока вызывают дискомфорт.",2025-11-11T00:00:00Z
ref-svend-press-01-prog,svend-press,resistance-band-fly,Разведение с резиновыми лентами,progression,skill-development,72,"Добавление лент повышает сопротивление и учит контролировать траекторию разведения рук.",2025-11-11T00:00:00Z
ref-svend-press-02-prog,svend-press,incline-push-ups,Отжимания с наклоном - руки на возвышении,progression,difficulty-adjustment,72,"Следующий шаг после диска — подключаем поддержку корпуса и удержание планки на возвышении рук",2025-11-11T00:00:00Z
ref-resistance-band-fly-05-prog,resistance-band-fly,cable-fly-standing,Сведение рук в кроссовере стоя,progression,skill-development,80,"Кроссовер стоя даёт непрерывное натяжение и требует удержания корпуса, усложняя знакомый паттерн.",2025-11-11T00:00:00Z
ref-cable-fly-standing-05-reg,cable-fly-standing,resistance-band-fly,Разведение с резиновыми лентами,regression,difficulty-adjustment,78,"Возврат к лентам снижает требования к стабилизации и облегчает поддержание амплитуды, сохраняя работу на грудь.",2025-11-11T00:00:00Z
ref-resistance-band-fly-06-alt,resistance-band-fly,dumbbell-fly-flat-bench,Разведение гантелей лежа на горизонтальной скамье,alternative,equipment-availability,74,"Горизонтальный флай с гантелями даёт схожее растяжение и полезен, если тренировка проходит в зале.",2025-11-11T00:00:00Z
ref-dumbbell-fly-flat-bench-05-alt,dumbbell-fly-flat-bench,resistance-band-fly,Разведение с резиновыми лентами,alternative,equipment-availability,73,"Ленты позволяют сохранить акцент на груди дома, когда нет доступа к скамье и гантелям.",2025-11-11T00:00:00Z
ref-incline-barbell-bench-press-02-reg,incline-barbell-bench-press,smith-machine-incline-bench-press,Жим в машине Смита на наклонной скамье,regression,difficulty-adjustment,82,"Фиксированная траектория машины Смита убирает балансировку и помогает сосредоточиться на технике при меньшем риске для плеч.",2025-11-11T00:00:00Z
ref-incline-barbell-bench-press-01-prog,incline-barbell-bench-press,barbell-floor-press,Жим штанги лежа на полу,progression,skill-development,86,"Ограниченная амплитуда на полу заставляет развивать силу в верхней точке и контроль лопаток при работе с тяжелыми весами.",2025-11-11T00:00:00Z
ref-incline-barbell-bench-press-01-alt,incline-barbell-bench-press,incline-dumbbell-press,Жим гантелей на наклонной скамье,alternative,equipment-availability,84,"Двухгантельный вариант доступнее без стойки со штангой и развивает симметрию за счёт независимой работы рук.",2025-11-11T00:00:00Z
ref-smith-machine-incline-bench-press-01-prog,smith-machine-incline-bench-press,incline-barbell-bench-press,Жим штанги лежа на наклонной скамье,progression,skill-development,85,"Переход на свободную штангу учит контролировать траекторию и распределять нагрузку на стабилизаторы.",2025-11-11T00:00:00Z
ref-barbell-floor-press-01-reg,barbell-floor-press,incline-barbell-bench-press,Жим штанги лежа на наклонной скамье,regression,difficulty-adjustment,78,"Возврат к наклонной скамье снижает требования к силе фиксации и позволяет работать по полной амплитуде.",2025-11-11T00:00:00Z
ref-incline-dumbbell-press-04-alt,incline-dumbbell-press,incline-barbell-bench-press,Жим штанги лежа на наклонной скамье,alternative,equipment-availability,83,"Выбор штанги удобен при необходимости прогрессии нагрузки по мелким шагам и работе со страховщиком.",2025-11-11T00:00:00Z
ref-decline-barbell-bench-press-02-reg,decline-barbell-bench-press,smith-machine-decline-bench-press,Жим в машине Смита на скамье с отрицательным наклоном,regression,difficulty-adjustment,81,"Машина Смита стабилизирует штангу и помогает новичкам освоить работу под отрицательным углом без страховщика.",2025-11-11T00:00:00Z
ref-decline-barbell-bench-press-01-prog,decline-barbell-bench-press,hammer-chest-press-one-arm,Жим в хаммере одной рукой,progression,skill-development,85,"Односторонний хаммер развивает силу и контроль каждой стороны отдельно, повышая требования к стабилизаторам и силе хвата.",2025-11-11T00:00:00Z
ref-decline-barbell-bench-press-01-alt,decline-barbell-bench-press,decline-dumbbell-press,Жим гантелей на скамье с отрицательным наклоном,alternative,equipment-availability,83,"Гантели позволяют адаптировать амплитуду и нагрузку по отдельности на каждую руку, сохраняя акцент на нижнюю часть груди.",2025-11-11T00:00:00Z
ref-smith-machine-decline-bench-press-01-prog,smith-machine-decline-bench-press,decline-barbell-bench-press,Жим штанги лежа на скамье с отрицательным наклоном,progression,skill-development,84,"Свободная штанга усложняет контроль и улучшает силовой потенциал при работе без направляющих.",2025-11-11T00:00:00Z
ref-hammer-chest-press-one-arm-01-reg,hammer-chest-press-one-arm,decline-barbell-bench-press,Жим штанги лежа на скамье с отрицательным наклоном,regression,difficulty-adjustment,79,"Возврат к двустороннему жиму на скамье помогает снять избыточные требования к стабилизации и концентрироваться на силе.",2025-11-11T00:00:00Z
ref-decline-dumbbell-press-04-alt,decline-dumbbell-press,decline-barbell-bench-press,Жим штанги лежа на скамье с отрицательным наклоном,alternative,equipment-availability,82,"Штанга удобна при необходимости точного прироста веса и работе с ассистентом; амплитуда фиксирована и контроль проще.",2025-11-11T00:00:00Z
ref-ring-push-ups-05-reg,ring-push-ups,decline-push-ups,Отжимания с наклоном - ноги на возвышении,regression,skill-development,78,"Переход к устойчивой опоре позволяет сохранить силу груди и разгрузить стабилизаторы плеч при работе после колец",2025-11-11T00:00:00Z
ref-close-grip-push-ups-01-reg,close-grip-push-ups,push-ups,Отжимания от пола,regression,difficulty-adjustment,80,"Стандартная ширина ладоней уменьшает нагрузку на трицепсы и запястья, помогает восстановить объём перед узким хватом.",2025-11-11T00:00:00Z
